Indicator,Year,Geography,FIPS,Cases,Rate per 100000
"Tuberculosis","2023","Pulaski County, MO","29169","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pulaski County, KY","21199","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pulaski County, IN","18131","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pulaski County, IL","17153","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pulaski County, GA","13235","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pulaski County, AR","05119","11","2.7"
"Tuberculosis","2023","Pueblo County, CO","08101","Data suppressed","Data suppressed"
"Tuberculosis","2023","Prowers County, CO","08099","Data suppressed","Data suppressed"
"Tuberculosis","2023","Providence County, RI","44007","25","3.8"
"Tuberculosis","2023","Prince of Wales-Hyder Census Area, AK","02198","Data suppressed","Data not available"
"Tuberculosis","2023","Prince William County, VA","51153","19","3.9"
"Tuberculosis","2023","Prince George's County, MD","24033","46","4.9"
"Tuberculosis","2023","Prince George County, VA","51149","Data suppressed","Data suppressed"
"Tuberculosis","2023","Prince Edward County, VA","51147","Data suppressed","Data suppressed"
"Tuberculosis","2023","Price County, WI","55099","Data suppressed","Data suppressed"
"Tuberculosis","2023","Preston County, WV","54077","Data suppressed","Data suppressed"
"Tuberculosis","2023","Presque Isle County, MI","26141","Data suppressed","Data suppressed"
"Tuberculosis","2023","Presidio County, TX","48377","Data suppressed","Data suppressed"
"Tuberculosis","2023","Prentiss County, MS","28117","Data suppressed","Data suppressed"
"Tuberculosis","2023","Preble County, OH","39135","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pratt County, KS","20151","Data suppressed","Data suppressed"
"Tuberculosis","2023","Prairie County, MT","30079","Data suppressed","Data suppressed"
"Tuberculosis","2023","Prairie County, AR","05117","Data suppressed","Data suppressed"
"Tuberculosis","2023","Powhatan County, VA","51145","Data suppressed","Data suppressed"
"Tuberculosis","2023","Poweshiek County, IA","19157","Data suppressed","Data suppressed"
"Tuberculosis","2023","Power County, ID","16077","Data suppressed","Data suppressed"
"Tuberculosis","2023","Powell County, MT","30077","Data suppressed","Data suppressed"
"Tuberculosis","2023","Powell County, KY","21197","Data suppressed","Data suppressed"
"Tuberculosis","2023","Powder River County, MT","30075","Data suppressed","Data suppressed"
"Tuberculosis","2023","Potter County, TX","48375","Data suppressed","Data suppressed"
"Tuberculosis","2023","Potter County, SD","46107","Data suppressed","Data suppressed"
"Tuberculosis","2023","Potter County, PA","42105","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pottawattamie County, IA","19155","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pottawatomie County, OK","40125","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pottawatomie County, KS","20149","Data suppressed","Data suppressed"
"Tuberculosis","2023","Posey County, IN","18129","Data suppressed","Data suppressed"
"Tuberculosis","2023","Portsmouth City, VA","51740","Data suppressed","Data suppressed"
"Tuberculosis","2023","Porter County, IN","18127","Data suppressed","Data suppressed"
"Tuberculosis","2023","Portage County, WI","55097","Data suppressed","Data suppressed"
"Tuberculosis","2023","Portage County, OH","39133","Data suppressed","Data suppressed"
"Tuberculosis","2023","Poquoson City, VA","51735","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pope County, MN","27121","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pope County, IL","17151","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pope County, AR","05115","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pontotoc County, OK","40123","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pontotoc County, MS","28115","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pondera County, MT","30073","Data suppressed","Data suppressed"
"Tuberculosis","2023","Ponce Municipio, PR","72113","Data suppressed","Data suppressed"
"Tuberculosis","2023","Polk County, WI","55095","Data suppressed","Data suppressed"
"Tuberculosis","2023","Polk County, TX","48373","Data suppressed","Data suppressed"
"Tuberculosis","2023","Polk County, TN","47139","Data suppressed","Data suppressed"
"Tuberculosis","2023","Polk County, OR","41053","Data suppressed","Data suppressed"
"Tuberculosis","2023","Polk County, NE","31143","Data suppressed","Data suppressed"
"Tuberculosis","2023","Polk County, NC","37149","Data suppressed","Data suppressed"
"Tuberculosis","2023","Polk County, MO","29167","Data suppressed","Data suppressed"
"Tuberculosis","2023","Polk County, MN","27119","Data suppressed","Data suppressed"
"Tuberculosis","2023","Polk County, IA","19153","15","3.0"
"Tuberculosis","2023","Polk County, GA","13233","Data suppressed","Data suppressed"
"Tuberculosis","2023","Polk County, FL","12105","14","1.7"
"Tuberculosis","2023","Polk County, AR","05113","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pointe Coupee Parish, LA","22077","Data suppressed","Data suppressed"
"Tuberculosis","2023","Poinsett County, AR","05111","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pocahontas County, WV","54075","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pocahontas County, IA","19151","Data suppressed","Data suppressed"
"Tuberculosis","2023","Plymouth County, MA","25023","16","3.0"
"Tuberculosis","2023","Plymouth County, IA","19149","Data suppressed","Data suppressed"
"Tuberculosis","2023","Plumas County, CA","06063","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pleasants County, WV","54073","Data suppressed","Data suppressed"
"Tuberculosis","2023","Platte County, WY","56031","Data suppressed","Data suppressed"
"Tuberculosis","2023","Platte County, NE","31141","Data suppressed","Data suppressed"
"Tuberculosis","2023","Platte County, MO","29165","Data suppressed","Data suppressed"
"Tuberculosis","2023","Plaquemines Parish, LA","22075","Data suppressed","Data suppressed"
"Tuberculosis","2023","Placer County, CA","06061","10","2.4"
"Tuberculosis","2023","Piute County, UT","49031","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pittsylvania County, VA","51143","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pittsburg County, OK","40121","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pitt County, NC","37147","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pitkin County, CO","08097","Data suppressed","Data suppressed"
"Tuberculosis","2023","Piscataquis County, ME","23021","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pipestone County, MN","27117","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pinellas County, FL","12103","20","2.1"
"Tuberculosis","2023","Pine County, MN","27115","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pinal County, AZ","04021","35","7.2"
"Tuberculosis","2023","Pima County, AZ","04019","24","2.3"
"Tuberculosis","2023","Pike County, PA","42103","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pike County, OH","39131","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pike County, MS","28113","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pike County, MO","29163","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pike County, KY","21195","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pike County, IN","18125","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pike County, IL","17149","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pike County, GA","13231","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pike County, AR","05109","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pike County, AL","01109","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pierce County, WI","55093","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pierce County, WA","53053","31","3.3"
"Tuberculosis","2023","Pierce County, NE","31139","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pierce County, ND","38069","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pierce County, GA","13229","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pickett County, TN","47137","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pickens County, SC","45077","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pickens County, GA","13227","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pickens County, AL","01107","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pickaway County, OH","39129","Data suppressed","Data suppressed"
"Tuberculosis","2023","Piatt County, IL","17147","Data suppressed","Data suppressed"
"Tuberculosis","2023","Phillips County, MT","30071","Data suppressed","Data suppressed"
"Tuberculosis","2023","Phillips County, KS","20147","Data suppressed","Data suppressed"
"Tuberculosis","2023","Phillips County, CO","08095","Data suppressed","Data suppressed"
"Tuberculosis","2023","Phillips County, AR","05107","Data suppressed","Data suppressed"
"Tuberculosis","2023","Philadelphia County, PA","42101","75","4.8"
"Tuberculosis","2023","Phelps County, NE","31137","Data suppressed","Data suppressed"
"Tuberculosis","2023","Phelps County, MO","29161","Data suppressed","Data suppressed"
"Tuberculosis","2023","Peñuelas Municipio, PR","72111","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pettis County, MO","29159","Data suppressed","Data suppressed"
"Tuberculosis","2023","Petroleum County, MT","30069","Data suppressed","Data suppressed"
"Tuberculosis","2023","Petersburg City, VA","51730","Data suppressed","Data suppressed"
"Tuberculosis","2023","Petersburg Census Area, AK","02195","Data suppressed","Data not available"
"Tuberculosis","2023","Person County, NC","37145","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pershing County, NV","32027","Data suppressed","Data suppressed"
"Tuberculosis","2023","Perry County, TN","47135","Data suppressed","Data suppressed"
"Tuberculosis","2023","Perry County, PA","42099","Data suppressed","Data suppressed"
"Tuberculosis","2023","Perry County, OH","39127","Data suppressed","Data suppressed"
"Tuberculosis","2023","Perry County, MS","28111","Data suppressed","Data suppressed"
"Tuberculosis","2023","Perry County, MO","29157","Data suppressed","Data suppressed"
"Tuberculosis","2023","Perry County, KY","21193","Data suppressed","Data suppressed"
"Tuberculosis","2023","Perry County, IN","18123","Data suppressed","Data suppressed"
"Tuberculosis","2023","Perry County, IL","17145","Data suppressed","Data suppressed"
"Tuberculosis","2023","Perry County, AR","05105","Data suppressed","Data suppressed"
"Tuberculosis","2023","Perry County, AL","01105","Data suppressed","Data suppressed"
"Tuberculosis","2023","Perquimans County, NC","37143","Data suppressed","Data suppressed"
"Tuberculosis","2023","Perkins County, SD","46105","Data suppressed","Data suppressed"
"Tuberculosis","2023","Perkins County, NE","31135","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pepin County, WI","55091","Data suppressed","Data suppressed"
"Tuberculosis","2023","Peoria County, IL","17143","Data suppressed","Data suppressed"
"Tuberculosis","2023","Penobscot County, ME","23019","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pennington County, SD","46103","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pennington County, MN","27113","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pendleton County, WV","54071","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pendleton County, KY","21191","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pender County, NC","37141","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pend Oreille County, WA","53051","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pemiscot County, MO","29155","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pembina County, ND","38067","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pecos County, TX","48371","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pearl River County, MS","28109","Data suppressed","Data suppressed"
"Tuberculosis","2023","Peach County, GA","13225","Data suppressed","Data suppressed"
"Tuberculosis","2023","Payne County, OK","40119","Data suppressed","Data suppressed"
"Tuberculosis","2023","Payette County, ID","16075","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pawnee County, OK","40117","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pawnee County, NE","31133","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pawnee County, KS","20145","Data suppressed","Data suppressed"
"Tuberculosis","2023","Paulding County, OH","39125","Data suppressed","Data suppressed"
"Tuberculosis","2023","Paulding County, GA","13223","Data suppressed","Data suppressed"
"Tuberculosis","2023","Patrick County, VA","51141","Data suppressed","Data suppressed"
"Tuberculosis","2023","Patillas Municipio, PR","72109","Data suppressed","Data suppressed"
"Tuberculosis","2023","Passaic County, NJ","34031","24","4.7"
"Tuberculosis","2023","Pasquotank County, NC","37139","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pasco County, FL","12101","8","1.3"
"Tuberculosis","2023","Parmer County, TX","48369","Data suppressed","Data suppressed"
"Tuberculosis","2023","Parker County, TX","48367","Data suppressed","Data suppressed"
"Tuberculosis","2023","Parke County, IN","18121","Data suppressed","Data suppressed"
"Tuberculosis","2023","Park County, WY","56029","Data suppressed","Data suppressed"
"Tuberculosis","2023","Park County, MT","30067","Data suppressed","Data suppressed"
"Tuberculosis","2023","Park County, CO","08093","Data suppressed","Data suppressed"
"Tuberculosis","2023","Panola County, TX","48365","Data suppressed","Data suppressed"
"Tuberculosis","2023","Panola County, MS","28107","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pamlico County, NC","37137","Data suppressed","Data suppressed"
"Tuberculosis","2023","Palo Pinto County, TX","48363","Data suppressed","Data suppressed"
"Tuberculosis","2023","Palo Alto County, IA","19147","Data suppressed","Data suppressed"
"Tuberculosis","2023","Palm Beach County, FL","12099","38","2.5"
"Tuberculosis","2023","Page County, VA","51139","Data suppressed","Data suppressed"
"Tuberculosis","2023","Page County, IA","19145","Data suppressed","Data suppressed"
"Tuberculosis","2023","Pacific County, WA","53049","Data suppressed","Data suppressed"
"Tuberculosis","2023","Ozaukee County, WI","55089","Data suppressed","Data suppressed"
"Tuberculosis","2023","Ozark County, MO","29153","Data suppressed","Data suppressed"
"Tuberculosis","2023","Oxford County, ME","23017","Data suppressed","Data suppressed"
"Tuberculosis","2023","Owyhee County, ID","16073","Data suppressed","Data suppressed"
"Tuberculosis","2023","Owsley County, KY","21189","Data suppressed","Data suppressed"
"Tuberculosis","2023","Owen County, KY","21187","Data suppressed","Data suppressed"
"Tuberculosis","2023","Owen County, IN","18119","Data suppressed","Data suppressed"
"Tuberculosis","2023","Overton County, TN","47133","Data suppressed","Data suppressed"
"Tuberculosis","2023","Outagamie County, WI","55087","Data suppressed","Data suppressed"
"Tuberculosis","2023","Ouray County, CO","08091","Data suppressed","Data suppressed"
"Tuberculosis","2023","Ouachita Parish, LA","22073","Data suppressed","Data suppressed"
"Tuberculosis","2023","Ouachita County, AR","05103","Data suppressed","Data suppressed"
"Tuberculosis","2023","Otter Tail County, MN","27111","Data suppressed","Data suppressed"
"Tuberculosis","2023","Ottawa County, OK","40115","Data suppressed","Data suppressed"
"Tuberculosis","2023","Ottawa County, OH","39123","Data suppressed","Data suppressed"
"Tuberculosis","2023","Ottawa County, MI","26139","Data suppressed","Data suppressed"
"Tuberculosis","2023","Ottawa County, KS","20143","Data suppressed","Data suppressed"
"Tuberculosis","2023","Otsego County, NY","36077","Data suppressed","Data suppressed"
"Tuberculosis","2023","Otsego County, MI","26137","Data suppressed","Data suppressed"
"Tuberculosis","2023","Otoe County, NE","31131","Data suppressed","Data suppressed"
"Tuberculosis","2023","Otero County, NM","35035","6","8.7"
"Tuberculosis","2023","Otero County, CO","08089","Data suppressed","Data suppressed"
"Tuberculosis","2023","Oswego County, NY","36075","Data suppressed","Data suppressed"
"Tuberculosis","2023","Oscoda County, MI","26135","Data suppressed","Data suppressed"
"Tuberculosis","2023","Osceola County, MI","26133","Data suppressed","Data suppressed"
"Tuberculosis","2023","Osceola County, IA","19143","Data suppressed","Data suppressed"
"Tuberculosis","2023","Osceola County, FL","12097","11","2.5"
"Tuberculosis","2023","Osborne County, KS","20141","Data suppressed","Data suppressed"
"Tuberculosis","2023","Osage County, OK","40113","Data suppressed","Data suppressed"
"Tuberculosis","2023","Osage County, MO","29151","Data suppressed","Data suppressed"
"Tuberculosis","2023","Osage County, KS","20139","Data suppressed","Data suppressed"
"Tuberculosis","2023","Orocovis Municipio, PR","72107","Data suppressed","Data suppressed"
"Tuberculosis","2023","Orleans Parish, LA","22071","23","6.3"
"Tuberculosis","2023","Orleans County, VT","50019","Data suppressed","Data suppressed"
"Tuberculosis","2023","Orleans County, NY","36073","Data suppressed","Data suppressed"
"Tuberculosis","2023","Oregon County, MO","29149","Data suppressed","Data suppressed"
"Tuberculosis","2023","Orangeburg County, SC","45075","Data suppressed","Data suppressed"
"Tuberculosis","2023","Orange County, VT","50017","Data suppressed","Data suppressed"
"Tuberculosis","2023","Orange County, VA","51137","Data suppressed","Data suppressed"
"Tuberculosis","2023","Orange County, TX","48361","Data suppressed","Data suppressed"
"Tuberculosis","2023","Orange County, NY","36071","8","2.0"
"Tuberculosis","2023","Orange County, NC","37135","Data suppressed","Data suppressed"
"Tuberculosis","2023","Orange County, IN","18117","Data suppressed","Data suppressed"
"Tuberculosis","2023","Orange County, FL","12095","56","3.8"
"Tuberculosis","2023","Orange County, CA","06059","204","6.5"
"Tuberculosis","2023","Ontonagon County, MI","26131","Data suppressed","Data suppressed"
"Tuberculosis","2023","Ontario County, NY","36069","Data suppressed","Data suppressed"
"Tuberculosis","2023","Onslow County, NC","37133","Data suppressed","Data suppressed"
"Tuberculosis","2023","Onondaga County, NY","36067","5","1.1"
"Tuberculosis","2023","Oneida County, WI","55085","Data suppressed","Data suppressed"
"Tuberculosis","2023","Oneida County, NY","36065","Data suppressed","Data suppressed"
"Tuberculosis","2023","Oneida County, ID","16071","Data suppressed","Data suppressed"
"Tuberculosis","2023","Olmsted County, MN","27109","5","3.0"
"Tuberculosis","2023","Oliver County, ND","38065","Data suppressed","Data suppressed"
"Tuberculosis","2023","Oldham County, TX","48359","Data suppressed","Data suppressed"
"Tuberculosis","2023","Oldham County, KY","21185","Data suppressed","Data suppressed"
"Tuberculosis","2023","Oktibbeha County, MS","28105","Data suppressed","Data suppressed"
"Tuberculosis","2023","Okmulgee County, OK","40111","Data suppressed","Data suppressed"
"Tuberculosis","2023","Oklahoma County, OK","40109","16","2.0"
"Tuberculosis","2023","Okfuskee County, OK","40107","Data suppressed","Data suppressed"
"Tuberculosis","2023","Okeechobee County, FL","12093","Data suppressed","Data suppressed"
"Tuberculosis","2023","Okanogan County, WA","53047","Data suppressed","Data suppressed"
"Tuberculosis","2023","Okaloosa County, FL","12091","Data suppressed","Data suppressed"
"Tuberculosis","2023","Ohio County, WV","54069","Data suppressed","Data suppressed"
"Tuberculosis","2023","Ohio County, KY","21183","Data suppressed","Data suppressed"
"Tuberculosis","2023","Ohio County, IN","18115","Data suppressed","Data suppressed"
"Tuberculosis","2023","Oglethorpe County, GA","13221","Data suppressed","Data suppressed"
"Tuberculosis","2023","Ogle County, IL","17141","Data suppressed","Data suppressed"
"Tuberculosis","2023","Oglala Lakota County, SD","46102","Data suppressed","Data suppressed"
"Tuberculosis","2023","Ogemaw County, MI","26129","Data suppressed","Data suppressed"
"Tuberculosis","2023","Oconto County, WI","55083","Data suppressed","Data suppressed"
"Tuberculosis","2023","Oconee County, SC","45073","Data suppressed","Data suppressed"
"Tuberculosis","2023","Oconee County, GA","13219","Data suppressed","Data suppressed"
"Tuberculosis","2023","Ochiltree County, TX","48357","Data suppressed","Data suppressed"
"Tuberculosis","2023","Oceana County, MI","26127","Data suppressed","Data suppressed"
"Tuberculosis","2023","Ocean County, NJ","34029","7","1.1"
"Tuberculosis","2023","Obion County, TN","47131","Data suppressed","Data suppressed"
"Tuberculosis","2023","Oakland County, MI","26125","20","1.6"
"Tuberculosis","2023","O'brien County, IA","19141","Data suppressed","Data suppressed"
"Tuberculosis","2023","Nye County, NV","32023","Data suppressed","Data suppressed"
"Tuberculosis","2023","Nueces County, TX","48355","17","4.8"
"Tuberculosis","2023","Nuckolls County, NE","31129","Data suppressed","Data suppressed"
"Tuberculosis","2023","Noxubee County, MS","28103","Data suppressed","Data suppressed"
"Tuberculosis","2023","Nowata County, OK","40105","Data suppressed","Data suppressed"
"Tuberculosis","2023","Nottoway County, VA","51135","Data suppressed","Data suppressed"
"Tuberculosis","2023","Norton County, KS","20137","Data suppressed","Data suppressed"
"Tuberculosis","2023","Norton City, VA","51720","Data suppressed","Data suppressed"
"Tuberculosis","2023","Northwest Hills Planning Region, CT","09160","Data suppressed","Data suppressed"
"Tuberculosis","2023","Northwest Arctic Borough, AK","02188","Data suppressed","Data not available"
"Tuberculosis","2023","Northumberland County, VA","51133","Data suppressed","Data suppressed"
"Tuberculosis","2023","Northumberland County, PA","42097","Data suppressed","Data suppressed"
"Tuberculosis","2023","Northeastern Connecticut Planning Region, CT","09150","Data suppressed","Data suppressed"
"Tuberculosis","2023","Northampton County, VA","51131","Data suppressed","Data suppressed"
"Tuberculosis","2023","Northampton County, PA","42095","Data suppressed","Data suppressed"
"Tuberculosis","2023","Northampton County, NC","37131","Data suppressed","Data suppressed"
"Tuberculosis","2023","North Slope Borough, AK","02185","Data suppressed","Data not available"
"Tuberculosis","2023","Norman County, MN","27107","Data suppressed","Data suppressed"
"Tuberculosis","2023","Norfolk County, MA","25021","27","3.7"
"Tuberculosis","2023","Norfolk City, VA","51710","5","2.2"
"Tuberculosis","2023","Nome Census Area, AK","02180","Data suppressed","Data not available"
"Tuberculosis","2023","Nolan County, TX","48353","Data suppressed","Data suppressed"
"Tuberculosis","2023","Nodaway County, MO","29147","Data suppressed","Data suppressed"
"Tuberculosis","2023","Nobles County, MN","27105","Data suppressed","Data suppressed"
"Tuberculosis","2023","Noble County, OK","40103","Data suppressed","Data suppressed"
"Tuberculosis","2023","Noble County, OH","39121","Data suppressed","Data suppressed"
"Tuberculosis","2023","Noble County, IN","18113","Data suppressed","Data suppressed"
"Tuberculosis","2023","Niobrara County, WY","56027","Data suppressed","Data suppressed"
"Tuberculosis","2023","Nicollet County, MN","27103","Data suppressed","Data suppressed"
"Tuberculosis","2023","Nicholas County, WV","54067","Data suppressed","Data suppressed"
"Tuberculosis","2023","Nicholas County, KY","21181","Data suppressed","Data suppressed"
"Tuberculosis","2023","Niagara County, NY","36063","Data suppressed","Data suppressed"
"Tuberculosis","2023","Nez Perce County, ID","16069","Data suppressed","Data suppressed"
"Tuberculosis","2023","Newton County, TX","48351","Data suppressed","Data suppressed"
"Tuberculosis","2023","Newton County, MS","28101","Data suppressed","Data suppressed"
"Tuberculosis","2023","Newton County, MO","29145","Data suppressed","Data suppressed"
"Tuberculosis","2023","Newton County, IN","18111","Data suppressed","Data suppressed"
"Tuberculosis","2023","Newton County, GA","13217","Data suppressed","Data suppressed"
"Tuberculosis","2023","Newton County, AR","05101","Data suppressed","Data suppressed"
"Tuberculosis","2023","Newport News City, VA","51700","5","2.7"
"Tuberculosis","2023","Newport County, RI","44005","Data suppressed","Data suppressed"
"Tuberculosis","2023","Newberry County, SC","45071","Data suppressed","Data suppressed"
"Tuberculosis","2023","Newaygo County, MI","26123","Data suppressed","Data suppressed"
"Tuberculosis","2023","New York County, NY","36061","100","6.3"
"Tuberculosis","2023","New Madrid County, MO","29143","Data suppressed","Data suppressed"
"Tuberculosis","2023","New London County, CT","09011","Data suppressed","Data not available"
"Tuberculosis","2023","New Kent County, VA","51127","Data suppressed","Data suppressed"
"Tuberculosis","2023","New Haven County, CT","09009","Data suppressed","Data not available"
"Tuberculosis","2023","New Hanover County, NC","37129","Data suppressed","Data suppressed"
"Tuberculosis","2023","New Castle County, DE","10003","7","1.2"
"Tuberculosis","2023","Nevada County, CA","06057","Data suppressed","Data suppressed"
"Tuberculosis","2023","Nevada County, AR","05099","Data suppressed","Data suppressed"
"Tuberculosis","2023","Ness County, KS","20135","Data suppressed","Data suppressed"
"Tuberculosis","2023","Neshoba County, MS","28099","Data suppressed","Data suppressed"
"Tuberculosis","2023","Neosho County, KS","20133","Data suppressed","Data suppressed"
"Tuberculosis","2023","Nemaha County, NE","31127","Data suppressed","Data suppressed"
"Tuberculosis","2023","Nemaha County, KS","20131","Data suppressed","Data suppressed"
"Tuberculosis","2023","Nelson County, VA","51125","Data suppressed","Data suppressed"
"Tuberculosis","2023","Nelson County, ND","38063","Data suppressed","Data suppressed"
"Tuberculosis","2023","Nelson County, KY","21179","Data suppressed","Data suppressed"
"Tuberculosis","2023","Navarro County, TX","48349","Data suppressed","Data suppressed"
"Tuberculosis","2023","Navajo County, AZ","04017","Data suppressed","Data suppressed"
"Tuberculosis","2023","Naugatuck Valley Planning Region, CT","09140","5","1.1"
"Tuberculosis","2023","Natrona County, WY","56025","Data suppressed","Data suppressed"
"Tuberculosis","2023","Natchitoches Parish, LA","22069","Data suppressed","Data suppressed"
"Tuberculosis","2023","Nassau County, NY","36059","45","3.3"
"Tuberculosis","2023","Nassau County, FL","12089","Data suppressed","Data suppressed"
"Tuberculosis","2023","Nash County, NC","37127","Data suppressed","Data suppressed"
"Tuberculosis","2023","Naranjito Municipio, PR","72105","Data suppressed","Data suppressed"
"Tuberculosis","2023","Napa County, CA","06055","9","6.8"
"Tuberculosis","2023","Nantucket County, MA","25019","Data suppressed","Data suppressed"
"Tuberculosis","2023","Nance County, NE","31125","Data suppressed","Data suppressed"
"Tuberculosis","2023","Naguabo Municipio, PR","72103","Data suppressed","Data suppressed"
"Tuberculosis","2023","Nacogdoches County, TX","48347","Data suppressed","Data suppressed"
"Tuberculosis","2023","Musselshell County, MT","30065","Data suppressed","Data suppressed"
"Tuberculosis","2023","Muskogee County, OK","40101","Data suppressed","Data suppressed"
"Tuberculosis","2023","Muskingum County, OH","39119","Data suppressed","Data suppressed"
"Tuberculosis","2023","Muskegon County, MI","26121","Data suppressed","Data suppressed"
"Tuberculosis","2023","Muscogee County, GA","13215","11","5.4"
"Tuberculosis","2023","Muscatine County, IA","19139","Data suppressed","Data suppressed"
"Tuberculosis","2023","Murray County, OK","40099","Data suppressed","Data suppressed"
"Tuberculosis","2023","Murray County, MN","27101","Data suppressed","Data suppressed"
"Tuberculosis","2023","Murray County, GA","13213","Data suppressed","Data suppressed"
"Tuberculosis","2023","Multnomah County, OR","41051","24","3.0"
"Tuberculosis","2023","Muhlenberg County, KY","21177","Data suppressed","Data suppressed"
"Tuberculosis","2023","Mower County, MN","27099","Data suppressed","Data suppressed"
"Tuberculosis","2023","Mountrail County, ND","38061","Data suppressed","Data suppressed"
"Tuberculosis","2023","Moultrie County, IL","17139","Data suppressed","Data suppressed"
"Tuberculosis","2023","Motley County, TX","48345","Data suppressed","Data suppressed"
"Tuberculosis","2023","Morton County, ND","38059","Data suppressed","Data suppressed"
"Tuberculosis","2023","Morton County, KS","20129","Data suppressed","Data suppressed"
"Tuberculosis","2023","Morrow County, OR","41049","Data suppressed","Data suppressed"
"Tuberculosis","2023","Morrow County, OH","39117","Data suppressed","Data suppressed"
"Tuberculosis","2023","Morrison County, MN","27097","Data suppressed","Data suppressed"
"Tuberculosis","2023","Morris County, TX","48343","Data suppressed","Data suppressed"
"Tuberculosis","2023","Morris County, NJ","34027","8","1.6"
"Tuberculosis","2023","Morris County, KS","20127","Data suppressed","Data suppressed"
"Tuberculosis","2023","Morrill County, NE","31123","Data suppressed","Data suppressed"
"Tuberculosis","2023","Morovis Municipio, PR","72101","Data suppressed","Data suppressed"
"Tuberculosis","2023","Morgan County, WV","54065","Data suppressed","Data suppressed"
"Tuberculosis","2023","Morgan County, UT","49029","Data suppressed","Data suppressed"
"Tuberculosis","2023","Morgan County, TN","47129","Data suppressed","Data suppressed"
"Tuberculosis","2023","Morgan County, OH","39115","Data suppressed","Data suppressed"
"Tuberculosis","2023","Morgan County, MO","29141","Data suppressed","Data suppressed"
"Tuberculosis","2023","Morgan County, KY","21175","Data suppressed","Data suppressed"
"Tuberculosis","2023","Morgan County, IN","18109","Data suppressed","Data suppressed"
"Tuberculosis","2023","Morgan County, IL","17137","Data suppressed","Data suppressed"
"Tuberculosis","2023","Morgan County, GA","13211","Data suppressed","Data suppressed"
"Tuberculosis","2023","Morgan County, CO","08087","Data suppressed","Data suppressed"
"Tuberculosis","2023","Morgan County, AL","01103","Data suppressed","Data suppressed"
"Tuberculosis","2023","Morehouse Parish, LA","22067","Data suppressed","Data suppressed"
