,Charity,All time funding (990),All time pledged,Website,Passthrough,EIN,Tags,2025,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,2024,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,2023,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,2022,Unnamed: 25_level_0,2021,Unnamed: 27_level_0,2020,2019,Unnamed: 30_level_0,2018,Unnamed: 32_level_0,2017,Unnamed: 34_level_0,2016,Unnamed: 36_level_0,2015,Unnamed: 38_level_0,2014,Unnamed: 40_level_0,2013,Unnamed: 42_level_0,2012,Unnamed: 44_level_0,2011
102,Feeding America,"$52,859.00","$52,858.13",https://www.feedingamerica.org/,,36-3673599,Hunger,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,"$27,653.45","$27,654.00",,,,,,,,,,,,,"$25,205.00","$25,204.68",,,,
103,First Book,"$25,205.00","$25,204.68",http://www.firstbook.org/,,52-1779606,Education,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,,,,,"$25,205.00","$25,204.68",,,,
104,Fish Welfare Initiative,$0.00,$0.00,https://www.fishwelfareinitiative.org/,,85-2065536,Animals,,,,,,,,5.0,583.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Flint Water Fund,"$21,928.00","$21,927.93",http://www.unitedwaygenesee.org/flintwaterfund,United Way of Genesee City,38-1359516,Water; Community services,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,"$21,928.00","$21,927.93",,,,,,,,,,
106,Foster Love,$0.00,$0.00,,,81-2263514,,,,,,,,,1.0,121.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Freedom Readers,$0.00,$0.00,,,87-3023665,,,,,,,,,1.0,156.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Fundación Niños de los Andes,$0.00,$0.00,,,,,,,,,,,,1.0,83.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Fungi Foundation,$0.00,$0.00,,,85-1478153,,,,,,,,,1.0,189.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Future Economy Collective,$0.00,$0.00,,,83-1665055,,,,,,,,,1.0,782.0,x,,,feat not fund,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,
111,Gamers Outreach,$0.00,$0.00,,,26-0321174,,,,,,,,,,,,,,no fund or feat,x,,,feat not fund,,,,,,,,,,,,,,,,,,,,,,
112,GeekGirlCon,$0.00,$0.00,,,27-4177245,Art,,,,,,,,1.0,324.0,x,,,feat not fund,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,
113,Give Kids the World,$0.00,$0.00,,,59-2654440,,,,,,,,,1.0,53.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
114,GiveDirectly,"$83,493.00","$118,000.12",https://www.givedirectly.org/,,27-1661997,Economic development; Poverty,,,,,,,,5.0,293.0,,"$37,297.09",,fund not feat,,,,no fund or feat,,,"$27,653.45","$27,654.00","$17,440.00","$14,701.10","$18,631.00","$18,630.48","$19,768.00","$19,718.00",,,,,,,,,,,,
115,Givewell,"$27,654.00","$27,653.45",https://www.givewell.org/maximum-impact-fund,,20-8625442,Poverty; Health,,,,,,,,4.0,236.0,,,,no fund or feat,,,,no fund or feat,,,"$27,653.45","$27,654.00",,,,,,,,,,,,,,,,,,
116,Glassroots,$0.00,$0.00,,,22-3671890,,,,,,,,,1.0,75.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Global Vision 2020,$0.00,$0.00,,,26-4228446,,,,,,,,,1.0,752.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
118,GLSEN,"$19,768.00","$19,718.00",https://www.glsen.org/,,04-3234202,LGBTQ+ rights,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,"$19,768.00","$19,718.00",,,,,,,,,,,,
119,Great Ormond Street Hospital for Children ,"$15,271.00","$15,270.77",http://www.gosh.org/,CAF America,,Health,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,"$15,271.00","$15,270.77",,,,,,,,
120,Heartstone Veganic Sanctuary,$0.00,$0.00,,,,,,,,,,,,1.0,289.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Heifer International,"$87,054.00","$87,003.74",https://web.archive.org/web/20221006153536/https://www.heifer.org/,,35-1019477,Hunger; Poverty; Economic development,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,"$18,631.00","$18,630.48","$19,768.00","$19,718.00","$21,928.00","$21,927.93",,,,"$26,727.33","$26,727.00",,,,,
122,Hispanic Federation,"$19,768.00","$19,718.00",http://hispanicfederation.org/,,13-3573852,Health; Human services,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,"$19,768.00","$19,718.00",,,,,,,,,,,,
123,Holy Cross Mission Center,"$29,106.00",$0.00,,,52-6044122,,,,,,,,,,,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,"$29,106.00",,,,,
124,Honeoye Falls-Mendon Rotary,$0.00,$0.00,,,27-0002197,,,,,,,,,1.0,80.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Hope Creates,$0.00,$0.00,Hopecreates.org,,82-1130017,Art; Education; Human services,,,,,,,,1.0,191.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Hope Haven Theraputic Riding Center,$0.00,$0.00,,,,,,,,,,,,1.0,59.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Instrument Shop,$0.00,"$37,297.09",,,86-2400545,Education; Art,,,,,,,,1.0,706.0,x,"$37,297.09",,fund and feat,,,,,,,,,,,,,,,,,,,,,,,,,,
128,International Campaign to Abolish Nuclear Weapons,$0.00,$0.00,,,,Nuclear weapons,,,,,,,,6.0,1142.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
129,it gets better project,$0.00,"$37,297.09",,,93-1532088,Human services,,,,,,,,2.0,226.0,,"$37,297.09",,fund not feat,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Kick it for Cancer,$0.00,$0.00,,,,Cancer,,,,,,,,1.0,352.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Kids In Need of Defense,$0.00,$0.00,,,,Children,,,,,,,,1.0,103.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Kiva,"$41,795.39","$41,795.07",https://www.kiva.org/,,71-0992446,Economic development; Poverty,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,,,,,"$25,205.00","$25,204.68",,,16590.39,16590.39
133,Last Mile Health,"$239,862.00","$239,861.93",http://lastmilehealth.org/,,26-1401736,Health,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,"$217,934.00","$217,934.00","$21,928.00","$21,927.93",,,,,,,,,,
134,"Laughing at My Nightmare, Inc.",$0.00,$0.00,WWW.LAUGHINGATMYNIGHTMARE.COM,,45-4553464,Human services,,,,,,,,1.0,676.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Lava Mae,"$25,000.00","$25,000.00",http://lavamae.org/,,81-0832318,Homeless services; Human services,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,"$25,000.00","$25,000.00",,,,,,,,
136,Liberty in North Korea,"$75,000.00","$75,000.00",http://www.libertyinnorthkorea.org/,,73-1710135,Human rights,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,"$25,000.00","$25,000.00",,,"$50,000.00","$50,000.00",,,,
137,Libraries without Borders,"$18,631.00","$18,630.48",https://www.librarieswithoutborders.org/,,68-0666319,Education; Libraries,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,"$18,631.00","$18,630.48",,,,,,,,,,,,,,
138,Limitless Horizons Ixil ,$0.00,$0.00,www.limitlesshorizonsixil.org,,26-4296182,Community services,,,,,,,,1.0,1566.0,x,,,feat not fund,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,
139,Literacy KC,$0.00,$0.00,,,,Libraries; Education,,,,,,,,1.0,606.0,x,,,feat not fund,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,
140,Little Shelter Animal Rescue &amp; Adoption Center,$0.00,$0.00,http://www.littleshelter.com/,,11-6000821,Animals,,,,,,,,1.0,52.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Love Does,"$32,024.00","$32,023.26",https://lovedoes.org/,,83-0417128,Food banks; Human rights; Education,,,,,,,,1.0,4883.0,,,,no fund or feat,x,,,feat not fund,"$32,023.26","$32,024.00",,,,,,,,,,,,,,,,,,,,
142,Love146 Dayton Task Force,"$40,500.00","$40,500.00",http://146taskforce.org/,,20-1168284,Children; Human rights,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,,,,,,,"$40,500.00","$40,500.00",,
143,Lupus Foundation of America,$0.00,$0.00,http://www.lupus.org,,43-1131436,Health; Immune system diseases,,,,,,,,1.0,22.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Malala Fund,"$15,271.00","$15,270.77",https://www.malala.org/,,81-1397590,Education,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,"$15,271.00","$15,270.77",,,,,,,,
145,Marsha P. Johnson Institute,"$27,654.00","$27,653.45",https://marshap.org/about-mpji/,Social Good Fund,46-1323531,Hunger; Children,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,"$27,653.45","$27,654.00",,,,,,,,,,,,,,,,,,
146,MASS APPEAL INTERNATIONAL,$0.00,$0.00,,,04-3529531,Hunger; Children,,,,,,,,1.0,39.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Doctors Without Borders,"$87,404.00","$124,700.47",http://www.doctorswithoutborders.org/,,13-3433452,Health; Disaster relief; Tuberculosis,,,,,,,,1.0,568.0,x,"$37,297.09",,fund and feat,,,,no fund or feat,,,,,,,,,,,"$21,928.00","$21,927.93","$15,271.00","$15,270.77","$25,000.00","$25,000.00","$25,205.00","$25,204.68",,,,
148,Mercy Children's Hospital,"$40,500.00","$40,500.00",http://mercyweb.org/mercy_childrens.aspx,,,Health; Children,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,,,,,,,"$40,500.00","$40,500.00",,
149,Mid Willamette Trans Support Network,$0.00,$0.00,,,,,,,,,,,,1.0,138.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
150,MIRI,$0.00,$0.00,,,,,,,,,,,,1.0,66.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Motion Picture and Television Fund,$0.00,$0.00,https://www.mptf.com/,,95-1652916,Labor; Social services,,,,,,,,1.0,63.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
152,My Bag My Story,$0.00,$0.00,https://mybagmystory.com,,83-2750160,Human services; Foster care,,,,,,,,1.0,195.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
153,NAMI,$0.00,$0.00,http://www.nami.org,,43-1201653,Mental health,,,,,,,,2.0,149.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
154,National Park Foundation,"$32,024.00","$32,023.26",https://www.nationalparks.org/,,52-1086761,Environment,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,"$32,023.26","$32,024.00",,,,,,,,,,,,,,,,,,,,
155,National Suicide Prevention Lifeline,"$18,630.00","$18,630.48",https://suicidepreventionlifeline.org/,Vibrant Emotional Health,13-2637308,Mental health,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,"$18,630.00","$18,630.48",,,,,,,,,,,,,,
156,NephCure Kidney International,$0.00,$0.00,http://www.nephcure.org,,38-3569922,Health; Kidney diseases,,,,,,,,1.0,147.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
157,"New York State Network for Youth Success, Inc.",$0.00,$0.00,networkforyouthsuccess.org,,13-3841114,Education; Youth development,,,,,,,,1.0,98.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Nuclear Age Peace Foundation,$0.00,$0.00,,,95-3825265,Nuclear weapons,,,,,,,,1.0,115.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Ocean Conservancy,$0.00,$0.00,http://www.oceanconservancy.org,,23-7245152,Environment,,,,,,,,1.0,0.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Ocean Rescue Alliance International,$0.00,$0.00,https://www.oceanrescuealliance.org/,,86-3337083,Art; Education; Environment,,,,,,,,1.0,196.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Open Medicine Foundation,$0.00,$0.00,OMF.NGO,,26-4712664,Technology; Research; Health,,,,,,,,1.0,469.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Out On The Shelf,$0.00,$0.00,,,,,,,,,,,,1.0,109.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Outright International,$0.00,$0.00,https://www.outrightinternational.org/,,94-3139952,LGBTQ+ rights,,,,,,,,1.0,79.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Painted Dog Conservation,$0.00,$0.00,,,,,,,,,,,,1.0,98.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Pajama Program,$0.00,$0.00,http://www.pajamaprogram.org/,,02-0588068,Education; Children,,,,,,,,1.0,462.0,x,,,feat not fund,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,
166,Palestinian American Community Center,$0.00,"$37,297.09",www.paccusa.org,,46-5270907,Human services,,,,,,,,1.0,550.0,x,"$37,297.09",,fund and feat,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,
167,Palestinian Youth Movement,$0.00,$0.00,,,,Palestine,,,,,,,,1.0,265.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Partners for Mental Health,"$50,000.00","$50,000.00",http://www.partnersformh.ca/,,,Mental health,,,,,,,,,,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,"$50,000.00","$50,000.00",,,,
169,PCHR,$0.00,$0.00,,,,,,,,,,,,1.0,515.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Pencils for Kids,"$50,205.00","$50,204.68",http://www.pencilsforkids.com/,,27-2324554,Education,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,,,"$25,000.00","$25,000.00","$25,205.00","$25,204.68",,,,
171,Planned Parenthood,"$114,862.00","$112,072.55",https://www.plannedparenthood.org/,,13-1644147,Health,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,"$27,653.45","$27,654.00","$17,440.00","$14,701.10",,,"$19,768.00","$19,718.00","$25,000.00","$25,000.00","$25,000.00","$25,000.00",,,,,,,,
172,Pragathi Charitable Trust,$0.00,$0.00,,,,,,,,,,,,1.0,93.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Project B.E.A.R.,$0.00,$0.00,,,45-2318910,Youth organizing,,,,,,,,1.0,101.0,,,,no fund or feat,x,,,,,,,,,,,,,,,,,,,,,,,,,
174,ProVeg International,$0.00,"$37,297.09",https://proveg.org/,,46-3038496,Education; Animals; Health,,,,,,,,7.0,934.0,,"$37,297.09",,fund not feat,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Pumpkins Acres Rabbit Rescue,$0.00,$0.00,,,,,,,,,,,,1.0,140.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Quadball UK,$0.00,$0.00,,,,,,,,,,,,1.0,84.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Quelili,$0.00,$0.00,,,,,,,,,,,,1.0,95.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
178,RAINN,"$18,631.00","$18,630.48",https://www.rainn.org/,,52-1886511,Human services; Sexual violence,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,"$18,631.00","$18,630.48",,,,,,,,,,,,,,
179,Redwood Empire Food Bank,$0.00,$0.00,http://www.refb.org/,,68-0121855,Hunger,,,,,,,,1.0,86.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
180,ReFOCUS Media Labs,$0.00,$0.00,,,,,,,,,,,,1.0,456.0,x,,,feat not fund,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,
181,Refugee Council,"$18,631.00","$18,630.48",https://www.refugeecouncil.org.uk/,,Charity no. 1014576 Company no. 2727514,,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,"$18,631.00","$18,630.48",,,,,,,,,,,,,,
182,RiseBoro Community Partnership,$0.00,$0.00,WWW.RISEBORO.ORG,,11-2453853,Community services,,,,,,,,1.0,308.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Roger Neilson House,$0.00,$0.00,,,,,,,,,,,,1.0,280.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Sarcoma Foundation of America,"$82,500.00","$82,500.41",http://www.curesarcoma.org/,,52-2275294,Health; Cancer,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,,,,"$82,500.41","$82,500.00",,,,,
185,Seattle Humane Society,"$17,440.00","$14,701.10",https://www.seattlehumane.org/,,91-0282060,Animals,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,"$17,440.00","$14,701.10",,,,,,,,,,,,,,,,
186,SEDS-Canada,$0.00,$0.00,,,,,,,,,,,,1.0,92.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Seed,$0.00,$0.00,,,,,,,,,,,,1.0,103.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
188,SENS Research Foundation,"$19,768.00","$19,718.00",http://www.sens.org/,,94-3473864,Health; Research,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,"$19,768.00","$19,718.00",,,,,,,,,,,,
189,"Shelter, Inc.",$0.00,$0.00,HTTPS://WWW.SHELTER-INC.ORG/,,23-7399596,Shelter; Children,,,,,,,,1.0,526.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Sister Garczynska's Foundation,#REF!,"$78,437.27",https://foundationgarczynska.wordpress.com/,CAF America,,,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,"$18,631.00","$18,630.48","$19,768.00","$19,718.00","$25,000.00","$25,000.00",,,"$15,089.00","$15,088.79",,,,,,
191,Soap Aid,#REF!,"$15,270.77",http://www.soapaid.org/,CAF America,,,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,"$15,271.00","$15,270.77",,,,,,,,
192,SOCK FIP,$0.00,$0.00,,,,,,,,,,,,1.0,81.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
193,SpayNSave,$0.00,$0.00,WWW.SPAYNSAVE.ORG,,30-0693930,Animals,,,,,,,,1.0,409.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Spiro,$0.00,$0.00,https://www.spiro.ngo/,,27-6601178,Tuberculosis,,,,,,,,1.0,74.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
195,St. Jude Children's Research Hospital,"$19,768.00","$19,718.00",https://www.stjude.org/,,62-0646012,Health; Children; Cancer,,,,,,,,1.0,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,"$19,768.00","$19,718.00",,,,,,,,,,,,
196,Stella's Circle,"$15,089.00","$15,088.79",http://www.stellaburry.ca/,Grantmaking (North America),,,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,,,"$15,089.00","$15,088.79",,,,,,
197,Stone Soup Cafe,$0.00,$0.00,www.thestonesoupcafe.org,,84-3664286,Workforce development,,,,,,,,1.0,247.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
198,strongminds,$0.00,$0.00,WWW.STRONGMINDS.ORG,,46-2090059,Mental health,,,,,,,,1.0,47.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Survival International,$0.00,$0.00,HTTPS://WWW.SURVIVALINTERNATIONAL.ORG/,,26-3208869,Human rights,,,,,,,,1.0,267.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Suubi Teen MOPS Uganda,$0.00,$0.00,,,,,,,,,,,,1.0,482.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Swasthya Swaraj,$0.00,$0.00,,,,,,,,,,,,1.0,40.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
202,TECHO,"$90,500.00","$90,500.00",http://www.techo.org/en,,27-1479398,,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,,,,,"$50,000.00","$50,000.00","$40,500.00","$40,500.00",,
203,Texas 4000 for Cancer,$0.00,$0.00,WWW.TEXAS4000.ORG,,20-0371876,Cancer; Health,,,,,,,,1.0,241.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
204,The American Red Cross,$0.00,$0.00,http://www.redcross.org,,53-0196605,Health; International development; Disaster relief,,,,,,,,1.0,54.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
205,The Being Together Foundation ,"$18,631.00","$18,630.48",http://www.fundacjabycrazem.pl/,CAF America,,,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,"$18,631.00","$18,630.48",,,,,,,,,,,,,,
206,The Book Truck,"$15,089.00","$15,088.79",http://www.thebooktruck.org/,,45-3025073,Education,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,,,"$15,089.00","$15,088.79",,,,,,
207,The Crime Connection Incorporated,$0.00,$0.00,,,92-1847666,Health,,,,,,,,1.0,37.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
208,The Foundation to Decrease World Suck,$0.00,$0.00,,,,,,,,,,,,1.0,4293.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
209,The Humane League ,"$59,678.00","$59,676.71",https://thehumaneleague.org/,,04-3817491,Animals,,,,,,,,16.0,1241.0,,,,no fund or feat,x,,,feat not fund,"$32,023.26","$32,024.00","$27,653.45","$27,654.00",,,,,,,,,,,,,,,,,,
210,The Humane Society of New York,$0.00,$0.00,http://www.humanesocietyny.org/,,13-1624041,Animals,,,,,,,,1.0,58.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
211,The J.E.D. Foundation,$0.00,$0.00,http://jedfoundation.org,,13-4131139,Mental health,,,,,,,,1.0,74.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
212,The Office of Letters and Light,"$65,705.00","$65,704.68",http://lettersandlight.org/,,65-1282653,Art,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,,,,,"$25,205.00","$25,204.68","$40,500.00","$40,500.00",,
213,The Pet Fund,$0.00,$0.00,,,20-0232792,Animals,,,,,,,,1.0,192.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
214,The Prison Phoenix Trust,$0.00,$0.00,,,,Incarceration,,,,,,,,1.0,296.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
215,The Resilient Activist,$0.00,$0.00,www.theresilientactivist.org,,82-4982519,Mental health; Environment,,,,,,,,1.0,235.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
216,The Sound of Hope,"$15,089.00","$15,088.79",http://thesoundofhope.org/,,27-2807823,Disaster relief,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,,,"$15,089.00","$15,088.79",,,,,,
217,The Starfish Foundation,$0.00,$0.00,,,39-1847399,,,,,,,,,,,,,,no fund or feat,x,,,feat not fund,,,,,,,,,,,,,,,,,,,,,,
218,The STIM Project,$0.00,$0.00,,,93-2071935,Autism,,,,,,,,1.0,166.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Therapies Unite,$0.00,$0.00,,,,,,,,,,,,2.0,275.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Thrive Youth Center,$0.00,"$37,297.09",WWW.THRIVEYOUTHCENTER.ORG,,47-1528452,Youth services,,,,,,,,1.0,536.0,x,"$37,297.09",,fund and feat,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,
221,To Write Love on Her Arms,"$40,294.00","$40,293.47",http://twloha.com/,,26-0789229,Human rights; Mental health,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,,,"$15,089.00","$15,088.79","$25,205.00","$25,204.68",,,,
222,Trans Lifeline,"$27,654.00",$0.00,www.translifeline.org,,47-2097494,LGBTQ+ rights,,,,,,,,,,,,,no fund or feat,,,,,,,,"$27,654.00",,,,,,,,,,,,,,,,,,
223,TransActual,$0.00,$0.00,,,,,,,,,,,,1.0,204.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
224,TravlerPack,$0.00,$0.00,,,88-3734431,Human services,,,,,,,,1.0,298.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Trees for the Future,"$59,678.00","$59,676.71",https://trees.org/,,52-1644869,Environment,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,"$32,023.26","$32,024.00","$27,653.45","$27,654.00",,,,,,,,,,,,,,,,,,
226,Ultimate Peace,"$44,768.00","$44,718.00",http://www.ultimatepeace.org/,,27-2840618,War,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,"$19,768.00","$19,718.00",,,,,"$25,000.00","$25,000.00",,,,,,
227,Uncultured Project ,#REF!,"$40,500.00",https://youtube.com/user/UnculturedProject,CAF America,,Human rights; Poverty; Economic development,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,,,,,,,"$40,500.00","$40,500.00",,
228,UNICEF,"$48,614.39","$48,613.65",https://www.unicef.org/,,13-1760110,Health; Human services; Disaster relief,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,"$32,023.26","$32,024.00",,,,,,,,,,,,,,,,,,,16590.39,16590.39
229,United Mitochondrial Disease Foundation,"$27,654.00","$27,653.45",https://www.umdf.org/,,25-1767180,Health,,,,,,,,1.0,188.0,x (web),,,feat not fund,,,,no fund or feat,,,"$27,653.45","$27,654.00",,,,,,,,,,,,,,,,,,
230,United2Heal,$0.00,$0.00,,,46-5748694,,,,,,,,,1.0,254.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
231,UNRWA USA,$0.00,"$37,297.09",https://www.unrwausa.org/,,20-2714426,International development; Palestine; refugees,,,,,,,,1.0,488.0,,"$37,297.09",,fund not feat,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Upwardly Global,$0.00,$0.00,https://www.upwardlyglobal.org/,,94-3346127,Workforce development,,,,,,,,1.0,55.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
