,Charity,Website,Passthrough,EIN,Tags,Annual Revenue,Total grants,Number of grants,Most recent grant,Videos this year,All Videos,Last featured
197,Archaeology in the Community,https://www.archaeologyincommunity.com/,,30-0538831,"Art; Arts, culture & humanities; Education; Youth services","$316,182.00",$0,0,,2,5,
198,Squires Empowering Young Dads,https://www.squireseyd.org/,,93-3907585,Children and youth; Religious; Youth development,$0.00,$0,0,,1,2,
199,Palestinian Center for Human Rights,https://pchrgaza.org/,,,Human rights; Palestine,,$0,0,,0,2,
200,Queer Camp,http://www.queer.camp,Good Shepard Lutheran Church,71-0420393,Children and youth; Lgbtq+,,$0,0,,0,1,
201,Vida Plena,https://vidaplena.global/,,87-4372490,Mental health; Mental health & crisis intervention,"$401,040.00",$0,0,,0,1,
202,Animal Advocacy Africa,https://www.animaladvocacyafrica.org/,,,Animals,,$0,0,,0,1,
203,Project Drawdown,https://drawdown.org/,,38-3705448,Education; Environment and conservation,"$5,275,472.00",$0,0,,0,1,
204,Cure CLCN6,https://www.cureclcn6.org,,33-1628589,Healthcare,,$0,0,,1,2,
205,Sentience,https://sentience.ch/en/,,,Animals,,$0,0,,0,1,
206,Missoula Urban Demonstration Project (MUD),https://mudproject.org/,,81-0410863,Education; Environment and conservation,"$153,396.00",$0,0,,1,3,
207,ACTRA,https://www.actra.ngo/,,,Community improvement,,$0,0,,0,1,
208,Centre for the Governance of AI,https://www.governance.ai/,,99-4000294,Public & societal benefit,,$0,0,,1,3,
209,Lost-N-Found Youth,https://www.lnfy.org/,,45-4153322,"Children and youth; Community improvement; Education; Employment; Housing and shelter; Human services; Hunger, food, and nutrition; Lgbtq+; Mental health; Poverty","$2,043,970.00",$0,0,,0,1,
210,Mastodon,https://joinmastodon.org/about,,92-3333630,Community improvement; Human services; Science and technology,$0.00,$0,0,,0,1,
211,Queer Lexikon e.V.,https://qlx.li/betterplace,,Germany DE370051614,Lgbtq+,,$0,0,,0,1,
212,Misfits Rehab,https://misfitsrehab.org/,,83-1103793,Animal-related; Animals,$0.00,$0,0,,0,1,
213,Communitopia,https://www.communitopiapgh.org/,,26-4350431,Education; Environment; Environment and conservation,"$160,700.00",$0,0,,0,1,
214,Herd and Flock Animal Sanctuary,https://herdandflockanimalsanctuary.org/,,84-3648087,Animal-related; Animals,"$248,421.00",$0,0,,0,1,
215,The Social Teahouse Foundation,https://www.facebook.com/SocialTeaHouse/,,,Children and youth; Civil rights and advocacy; Community improvement; Education; Employment; Human rights,,$0,0,,0,1,
216,A child a dream a future - Un enfant un rêve un avenir,https://unenfantunreveunavenir.org/,,,Children and youth,,$0,0,,0,1,
217,Access to Medicines Initiative,https://www.accessmedicines.org/,,27-6601178,"Healthcare; Human rights; Philanthropy, voluntarism & grantmaking foundations","$37,465,428.00",$0,0,,0,1,
218,Global Citizen Adventure Corps,https://globalcitizenadventurecorps.org/,,88-3435848,"Animals; Children and youth; Education; Environment and conservation; Healthcare; Human rights; Hunger, food, and nutrition; Poverty","$267,637.00",$0,0,,0,1,
219,Disability EmpowHer Network,https://www.disabilityempowhernetwork.org,,86-2446885,Children and youth; Disability; Disaster preparedness and relief; Public & societal benefit,"$402,588.00",$0,0,,0,1,
220,Pamoja Community-Based Organisation,http://www.pamojapamoja.org,,47-4872428,"Education; Healthcare; International, foreign affairs & national security; Research",$0.00,$0,0,,0,2,
221,Animal Sanctuary Aurora,,,,Animals; Civil rights and advocacy,,$0,0,,0,1,
222,Art Meets Education,https://www.artmeetseducation.de/,,,Education,,$0,0,,0,1,
223,Friends of Lackota Animal Sanctuary,https://www.lackotasfriends.org/,,86-1490591,Animal-related; Animals,"$97,151.00",$0,0,,1,2,
224,Mollesnejta,https://www.instagram.com/mollesnejta/,,,"Education; Environment and conservation; Hunger, food, and nutrition; Science and technology",,$0,0,,0,1,
225,Spiro,https://www.spiro.ngo/,,27-6601178,"Healthcare; Philanthropy, voluntarism & grantmaking foundations; Tuberculosis","$37,465,428.00",$0,0,,1,3,
226,"Batten Disease Support, Research, and Advocacy Foundation",https://bdsrafoundation.org/,,91-1397792,Disability; Voluntary health associations & medical disciplines,"$746,147.00",$0,0,,0,1,
227,RiseBoro Community Partnership,WWW.RISEBORO.ORG,,11-2453853,Community services; Human services,"$82,084,359.00",$0,0,,0,2,
228,One Heart Project,https://oneheart.com/,,75-2721125,Children and youth; Crime and legal services; Education; Recreation & sports,"$1,112,495.00",$0,0,,0,1,
229,Sphinx Academy,https://www.sphinxacademy.org/,,47-3487919,Education,"$326,534.00",$0,0,,0,1,
230,LitShop,www.litshopstl.org,,83-3522861,Children and youth; Education,"$105,944.00",$0,0,,0,1,
231,International Campaign to Abolish Nuclear Weapons,https://www.icanw.org/,,,Nuclear weapons,,$0,0,,1,9,
232,Meals For Unity,https://mealsforunity.org/,,87-0839266,"Aapi; Food, agriculture & nutrition; Hunger, food, and nutrition","$59,548.00",$0,0,,0,1,
233,SameSame,https://www.samesamecollective.org/,,35-2723295,Human services; Lgbtq+; Mental health,"$265,452.00",$0,0,,0,1,
234,Family Promise of the Jersey Shore,https://familypromise.org/,,26-1970045,Housing and shelter; Human services,"$597,700.00",$0,0,,0,1,
235,THE HOSPICE CASA SPERANTEI FOUNDATION,https://www.hospice.ro/en/30-years-of-hospice-in-romania/,,,Children and youth; Healthcare,,$0,0,,0,1,
236,Wings of Rescue,Wingsofrescue.org,,45-3343408,Animal-related; Animals,"$3,451,579.00",$0,0,,0,1,
237,Manchester True Collaborative,https://ywcanh.org/donate-to-mtc/,YWCA of New Hampshire,02-0222254,Lgbtq+,"$2,730,433.00",$0,0,,0,1,
238,The Pet Fund,https://www.thepetfund.com/,,20-0232792,Animal-related; Animals,"$188,226.00",$0,0,,0,2,
239,True Colors United,https://truecolorsunited.org/,,45-2489069,"Civil rights, social action & advocacy; Lgbtq+","$3,386,191.00",$0,0,,0,1,
240,Ophelias Place,https://www.opheliasplace.net/.,,27-4675345,Children and youth; Youth development,"$1,666,567.00",$0,0,,0,1,
241,Barefoot Shakespeare Company,https://barefootshakespeare.org/,,46-3032682,"Arts, culture & humanities; Community improvement",$0.00,$0,0,,0,1,
242,Belong Center,http://www.belongcenter.org/donate,,92-1995041,Community improvement; Public & societal benefit,,$0,0,,0,1,
243,TreeSisters,treesisters.org,,84-3467752,Environment; Women's rights,"$36,155.00",$0,0,,0,1,
244,On The Move Art Studio,https://www.onthemoveartstudio.org,,47-2881625,Education; Employment; Youth development,"$77,283.00",$0,0,,0,1,
245,Lead Exposure Elimination Project,https://leadelimination.org/,,87-3016729,"Children and youth; International, foreign affairs & national security","$2,360,458.00",$0,0,,0,1,
246,Missoula Friends of the Shelter,https://www.missoulafos.org,,81-0509474,Animal-related; Animals,$0.00,$0,0,,0,1,
247,Planet Reimagined,https://www.planetreimagined.com,,83-1560579,Environment; Environment and conservation,"$14,000.00",$0,0,,0,1,
248,Tinykittens,https://tinykittens.com/,,,Animals,,$0,0,,0,1,
249,Sprach- und Bildungsförderung SprInt gGmbH,https://www.betterplace.org/de/projects/5160,,,Education,,$0,0,,0,1,
250,Day One,https://dayoneny.org/get-help/,,06-1103000,Children and youth; Human services,"$4,293,806.00",$0,0,,0,1,
251,The Savannah Children's Theatre,https://www.savannahchildrenstheatre.org/,,20-1578048,"Arts and culture; Arts, culture & humanities; Children and youth","$868,096.00",$0,0,,0,1,
252,TB Alliance,https://www.tballiance.org/,,13-4128413,Healthcare; Medical research; Tuberculosis,"$60,240,486.00",$0,0,,0,1,
253,Big Sky Youth Empowerment,https://www.byep.org/what-we-do,,81-0543203,Children and youth; Youth development,"$1,357,516.00",$0,0,,0,1,
254,DOSE Artist Collective,https://www.doseartistcollective.com/,,,Arts and culture,,$0,0,,0,1,
255,Survival International,HTTPS://WWW.SURVIVALINTERNATIONAL.ORG/,,26-3208869,"Human rights; International, foreign affairs & national security","$282,903.00",$0,0,,0,2,
256,Global Refuge,https://www.globalrefuge.org/,,01-0833397,"Education; Public safety, disaster preparedness & relief","$596,385.00",$0,0,,0,0,
257,Prescription Joy,https://www.prescriptionjoy.org/,,82-3992153,Arts and culture; Children and youth; Health care; Healthcare; Mental health,"$64,472.00",$0,0,,0,1,
258,wellpower,https://www.wellpower.org/,,74-2499946,Disability; Environment and conservation; Mental health; Mental health & crisis intervention,"$148,988,522.00",$0,0,,1,2,
259,Earth Hero,https://www.earthhero.org/.,,83-4084572,Environment; Environment and conservation,$0.00,$0,0,,0,1,
260,FREE2LUV,https://free2luv.org,,45-4158223,Arts and culture; Human services; Lgbtq+; Mental health,"$161,133.00",$0,0,,0,1,
261,Children Change Colombia,https://childrenchangecolombia.org/,,UK 1075037,Children and youth,"$780,682.00",$0,0,,0,1,
262,Sandy Hook Promise,https://www.sandyhookpromise.org/,,46-1657101,Children and youth; Crime & legal-related,"$31,635,190.00",$0,0,,0,1,
263,Amigxs Del M.A.R.,https://www.paypal.com/donate/?hosted_button_id=4U72ZR8SMCJVQ&source=qr,,66-0864878,Animals; Civil rights and advocacy; Community improvement; Education; Environment; Environment and conservation,,$0,0,,0,1,
264,Girl Scouts of the USA,https://www.girlscouts.org/en/support-us/donate/donate-now.html,,13-1624016,Children and youth; Community improvement; Education; Youth development,"$115,591,467.00",$0,0,,0,1,
265,LifeSmart Education,https://lifesmarteducation.org,,27-3013403,"Children and youth; Community improvement; Education; International, foreign affairs & national security; Poverty","$50,700.00",$0,0,,0,1,
266,New Incentives,https://www.newincentives.org/,,45-2368993,"Children and youth; Healthcare; International, foreign affairs & national security; Poverty","$26,514,991.00",$0,0,,0,1,
267,WaterAid,https://www.wateraid.org/us/,,30-0181674,"International, foreign affairs & national security; Poverty","$26,599,731.00",$0,0,,0,1,
268,Exotic Animals Rescue and Pet Sanctuary,https://earps.org/,,20-5906264,Animal-related; Animals,$0.00,$0,0,,0,1,
269,Plan USA,https://www.planusa.org/,,13-5661832,Education; Basic and emergency aid; Clean water supply,"$55,000,000.00",$0,0,,0,1,
270,Awakening Recovery,https://awakeningrecovery.org/,,47-4819990,Community improvement; Crime and legal services; Healthcare; Housing and shelter; Mental health; Mental health & crisis intervention; Poverty,"$731,864.00",$0,0,,0,1,
271,Foundation for an Independent Tomorrow (FIT),https://www.lasvegasfit.org/,,88-0377684,Community improvement; Education; Employment; Poverty,"$4,642,493.00",$0,0,,0,1,
272,Cosmopolitan Party Foundation,https://cosmopolitanparty.org/,,93-3694672,Civil rights and advocacy; Community improvement; Education; Human rights,,$0,0,,0,1,
273,Furkids Animal Rescue & Shelters,https://furkids.org,,01-0766844,Animal-related; Animals,"$5,712,911.00",$0,0,,1,2,
274,Kafessiz Turkiye,https://kafessizturkiye.com,,,Animals,,$0,0,,0,1,
275,Chris Wivholm Foundation,https://chriswivholm.org/,,83-0637863,Mental health; Mental health & crisis intervention; Science and technology,$0.00,$0,0,,0,1,
276,The Friendship Circle,https://friendshipcircle.org/,,,Disability,,$0,0,,0,1,
277,Burma Skincare Initiative,http://www.burmaskincare.org,,UK: 1187197,Healthcare,"$1,209.00",$0,0,,0,1,
278,Puppies Behind Bars,https://puppiesbehindbars.com/,,13-3969389,Animals; Civil rights and advocacy; Crime and legal services; Human services,"$3,991,785.00",$0,0,,0,1,
279,St Raphael's Hospice,https://www.straphaels.org.uk/,,,Healthcare,,$0,0,,0,1,
280,Student Advocacy Center of Michigan,https://www.studentadvocacycenter.org,,38-2058667,Children and youth; Education,"$2,404,443.00",$0,0,,0,1,
281,Global Changemakers,https://www.global-changemakers.net/,,92-2391475,Education; Youth development,"$52,609.00",$0,0,,0,1,
282,NephCure Kidney International,http://www.nephcure.org,,38-3569922,"Health; Kidney diseases; Philanthropy, voluntarism & grantmaking foundations","$4,295,090.00",$0,0,,1,3,
283,Parkinson's UK,https://www.parkinsons.org.uk/,,England 258197,Healthcare,"$58,821,763.00",$0,0,,0,1,
284,Collaborative Family Healthcare Association,https://www.cfha.net/,,13-3832381,Health care; Healthcare; Mental health,"$1,359,136.00",$0,0,,0,1,
285,Give Kids the World,https://www.gktw.org/,,59-2654440,,"$70,184,568.00",$0,0,,1,3,
286,Lets Plant e.V.,http://www.lets-plant.org,,,Environment and conservation,,$0,0,,0,1,
287,Midtown Greenway Coalition,https://midtowngreenway.org/,,41-1825584,Community improvement; Community improvement & capacity building,"$165,602.00",$0,0,,0,1,
288,The American Red Cross,http://www.redcross.org,,53-0196605,Disaster relief; Health; Human services; International development,"$3,217,077,611.00",$0,0,,0,2,
289,The Northwest Hub,https://www.thenorthwesthub.org/,,32-0439729,Community improvement; Employment; Public & societal benefit,"$423,624.00",$0,0,,0,1,
290,MIND Research Institute,https://www.mindresearch.org/,,87-2002807,Education; Science & technology,"$4,241,246.00",$0,0,,0,1,
291,Palomacy Pigeon & Dove Adoptions,https://www.pigeonrescue.org/,,87-2836252,Animal-related; Animals,"$238,636.00",$0,0,,0,1,
292,The J.E.D. Foundation,http://jedfoundation.org,,13-4131139,Mental health; Mental health & crisis intervention,"$20,673,662.00",$0,0,,0,2,
293,Encouraging Women Across All Borders,https://www.ewaab.org/,,84-3416643,Public & societal benefit; Women's rights,"$51,559.00",$0,0,,0,3,2023
294,Greater Change Foundation,https://greater-change.org/,,82-1305625,"Housing and shelter; International, foreign affairs & national security","$14,818.00",$0,0,,0,1,
295,Friends of Rescue Animals,https://frastx.org/,,20-1606547,Animal-related; Animals,"$158,768.00",$0,0,,0,1,
296,Palestinian Youth Movement,https://palestinianyouthmovement.com/,,13-3109400,Human rights; Palestine,"$2,379,650.00",$0,0,,0,2,
297,Blood Cancer UK,https://bloodcancer.org.uk/,,England 216032,Healthcare,"$22,992,514.00",$0,0,,0,1,
298,3 Bluebirds Farm,WWW.3BLUEBIRDSFARM.ORG,,30-0715917,Agriculture; Human services; Sustainability,"$345,367.00",$0,0,,0,1,
299,A21,https://www.a21.org/,,86-2765873,Human trafficking,,$0,0,,0,0,
300,All Out,https://allout.org/en/what-all-out,Tides Foundation,51-0198509,"Human rights; Lgbtq+; Philanthropy, voluntarism & grantmaking foundations","$350,128,498.00",$0,0,,0,1,
301,Alley Cat Allies,http://www.alleycat.org/,,,,,$0,0,,0,0,
302,Alliance for Building Communities,WWW.HOUSING-ABC.ORG,,23-2041406,Community services; Housing; Housing & shelter,"$1,818,738.00",$0,0,,0,1,
303,Alzheimer's Society,http://alzheimers.org.uk/,,31-1815826,Alzheimer's; Health; Voluntary health associations & medical disciplines,$0.00,$0,0,,2,2,
304,Amnesty International,https://www.amnesty.org/en/,,52-0851555,"Human rights; International, foreign affairs & national security; Refugees","$63,084,650.00",$0,0,,0,1,
305,Arbor Day Foundation,https://www.arborday.org/,,23-7169265,Environment,"$99,061,954.00",$0,0,,0,0,
306,Artists Open Studio,https://www.artistsopenstudioinc.org/,,20-4012059,"Art; Arts, culture & humanities","$147,188.00",$0,0,,0,0,2023
307,Astor Services,WWW.ASTORSERVICES.ORG,,14-1397918,Children; Education; Human services,"$57,624,208.00",$0,0,,0,1,
308,b-eat,http://www.b-eat.co.uk/Home,,UK 801343,,,$0,0,,0,0,
309,Be The Change Youth Initiative,https://bethechangeyi.com/,,85-1730074,Youth development; Youth organizing,"$89,568.00",$0,0,,0,1,
310,Beyond Blue,https://www.beyondblue.org.au/,,37-1730253,Education; Health,"$7,902,854.00",$0,0,,0,1,
311,Cage to Couch,https://cagetocouch.org/,,88-1759107,Animal-related,$0.00,$0,0,,0,1,
312,Cake4Kids,https://www.cake4kids.org/,,45-3148916,Youth development,"$1,272,289.00",$0,0,,0,1,
313,Calling All Crows,https://callingallcrows.org/,,26-3763300,"Civil rights, social action & advocacy","$700,548.00",$0,0,,0,1,
314,Carolina Manga Library,https://carolinamangalibrary.com/,,47-1170699,Education,$0.00,$0,0,,0,1,
315,Carymoor Environmental Trust,https://www.carymoor.org.uk/,,UK 1089668,,"$355,107.00",$0,0,,0,1,
316,CASA Project Worcester County,https://www.thecasaproject.org/,,04-2711865,"Civil rights, social action & advocacy","$1,237,730.00",$0,0,,0,1,
317,Catholic Migration Services,https://catholicmigration.org/,,11-2634818,,"$6,100,628.00",$0,0,,0,1,
318,Center for Constitutional Rights,https://ccrjustice.org/,,22-6082880,"Civil rights, social action & advocacy","$14,848,424.00",$0,0,,0,1,
319,Charity Elections,,,,,,$0,0,,0,1,
320,charity:water,https://charitywater.org/,,22-3936753,Human services; Water,"$96,818,300.00",$0,0,,0,0,
321,Clean Oceans Action,https://cleanoceanaction.org/be-the-solution-to-ocean-pollution,,22-2897204,Environment,"$1,113,806.00",$0,0,,0,1,
322,CoachBright Charitable Trust,https://www.coachbright.org/,,UK 1194092,,"$1,124,490.00",$0,0,,0,1,
323,Coalition for the Homeless,https://www.coalitionforthehomeless.org/,,13-3072967,,,$0,0,,0,0,
324,COLAGE,https://www.colage.org,,,,,$0,0,,0,0,
325,Conservation International,https://www.conservation.org/,,52-1497470,Environment,"$235,131,545.00",$0,0,,0,1,
326,Creative Commons,https://creativecommons.org/,,04-3585301,Education,"$4,891,109.00",$0,0,,0,1,
327,Crisis Text Line,https://www.crisistextline.org/,,46-5039599,Mental health; Mental health & crisis intervention,"$32,319,583.00",$0,0,,0,0,
328,Cure Alzheimer's Fund,https://curealz.org/,,82-1402154,"Philanthropy, voluntarism & grantmaking foundations","$95,358.00",$0,0,,0,1,2023
329,Denver Public Library Friends Foundation,https://www.dplfriends.org/,,84-6036979,Education; Libraries,"$1,680,501.00",$0,0,,0,1,
330,dewindroos,https://www.dewindroos.com/,,,Disability; Education,,$0,0,,0,1,
331,Dinosaurs Will Always be Awesome,https://dwaba.org/,,88-3304554,"Arts, culture & humanities",$0.00,$0,0,,0,0,2023
332,Disability Policy Consortium,https://www.dpcma.org/,,04-3570281,"Civil rights, social action & advocacy","$2,037,509.00",$0,0,,0,1,
333,Disabled Children's Fund,https://achildthrives.org/,,52-2062902,"International, foreign affairs & national security","$46,971.00",$0,0,,0,1,
334,educate.,https://educate-ngo.com,,,,,$0,0,,0,0,
335,Effective Thesis,https://www.effectivethesis.org/,,,Education,,$0,0,,0,1,
336,Emory Farmworker Project,https://med.emory.edu/departments/family-preventive/divisions-programs/physician-assistant-program/farmworker-project.html,Emory University,58-0566256,Education,,$0,0,,0,1,
337,Empower Tennessee,https://empowertennessee.org/,,62-1585996,Human services,"$495,282.00",$0,0,,0,1,
338,Ending Cancer in Our Generation,https://www.endingcancerinourgeneration.org/,,45-2676123,Cancer; Voluntary health associations & medical disciplines,$0.00,$0,0,,0,1,
339,Equal Rights Beyond Borders,https://equal-rights.org/,,Greece 996887928,Human rights; Refugees,"$682,971.00",$0,0,,0,1,
340,Everytown for Gun Safety,https://everytown.org/,,26-1598353,Crime & legal-related; Gun control; Policy,"$33,479,284.00",$0,0,,2,2,
341,Fardah Roshan Academy,https://fardahroshan.org/,,,Education,,$0,0,,0,0,
342,Foster Love,https://fosterlove.com/,,81-2263514,"Philanthropy, voluntarism & grantmaking foundations","$1,137,223.00",$0,0,,0,1,
343,Freedom Readers,https://freedomreaders.org/,,87-3023665,Human services,"$14,531,468.00",$0,0,,0,1,
344,Fundación Niños de los Andes,https://www.ninandes.org/es/,,65-0230929,"International, foreign affairs & national security","$9,342.00",$0,0,,0,1,
345,Future Economy Collective,https://www.southernfoodways.org/interview/future-economy-collective/,,83-1665055,Community improvement & capacity building,"$69,467.00",$0,0,,0,1,2024
346,GeekGirlCon,https://geekgirlcon.com/,,27-4177245,Art; Recreation & sports,"$191,029.00",$0,0,,0,1,2024
347,Glassroots,https://glassroots.org/,,22-3671890,Youth development,"$1,291,203.00",$0,0,,0,1,
348,Global Vision 2020,https://gv2020.org/,,26-4228446,"Philanthropy, voluntarism & grantmaking foundations","$247,497.00",$0,0,,0,1,
349,Heartstone Veganic Sanctuary,https://linktr.ee/Heartstonesanctuary,,,Animals,,$0,0,,0,1,
350,Honeoye Falls-Mendon Rotary,https://www.hfmrotary.org/,,27-0002197,"Philanthropy, voluntarism & grantmaking foundations",$0.00,$0,0,,0,1,
351,Hope Creates,Hopecreates.org,,82-1130017,"Art; Arts, culture & humanities; Education; Human services","$198,707.00",$0,0,,0,1,
352,Hope Haven Theraputic Riding Center,https://www.hopehavencentre.org/,,CA 81308 0652 RR0001,,,$0,0,,0,1,
353,International Justice Mission,https://www.ijm.org/,,54-1722887,,,$0,0,,0,0,
354,Kids In Need of Defense,https://supportkind.org/,,26-2763038,Children; Crime & legal-related,"$74,419,348.00",$0,0,,0,1,
355,"Laughing at My Nightmare, Inc.",WWW.LAUGHINGATMYNIGHTMARE.COM,,45-4553464,Human services,"$266,898.00",$0,0,,0,1,
356,Limitless Horizons Ixil,www.limitlesshorizonsixil.org,,26-4296182,Community services; Education,"$1,212,426.00",$0,0,,0,1,2024
357,Literacy KC,https://literacykc.org/,,43-1435729,Education; Libraries,"$4,187,416.00",$0,0,,0,1,2024
358,Little Shelter Animal Rescue &amp; Adoption Center,http://www.littleshelter.com/,,11-6000821,Animal-related; Animals,"$4,036,970.00",$0,0,,0,1,
359,Lupus Foundation of America,http://www.lupus.org,,43-1131436,Health; Immune system diseases; Voluntary health associations & medical disciplines,"$17,248,744.00",$0,0,,0,1,
360,MASS APPEAL INTERNATIONAL,https://www.massappealint.org/,,04-3529531,Children; Human services; Hunger; Religious,$0.00,$0,0,,0,1,
361,Mid Willamette Trans Support Network,https://midwillamettetsn.wixsite.com/oursite,,84-3648260,Human services,"$26,436.00",$0,0,,0,1,
362,Mind,https://www.mind.org.uk/,,,,,$0,0,,0,0,
363,Minus18,https://www.minus18.org.au/,,,,,$0,0,,0,0,
364,MIRI,https://intelligence.org/,,58-2565917,Science & technology,"$1,906,891.00",$0,0,,0,1,
365,Motion Picture and Television Fund,https://www.mptf.com/,,95-1652916,Human services; Labor; Social services,"$94,640,544.00",$0,0,,0,1,
366,My Bag My Story,https://mybagmystory.com,,83-2750160,Foster care; Human services,"$263,145.00",$0,0,,0,1,
367,NAMI,http://www.nami.org,,43-1201653,Mental health; Mental health & crisis intervention,"$38,156,209.00",$0,0,,0,2,
368,"New York State Network for Youth Success, Inc.",networkforyouthsuccess.org,,13-3841114,Education; Youth development,"$1,186,667.00",$0,0,,0,1,
369,Nuclear Age Peace Foundation,https://www.wagingpeace.org/,,95-3825265,"International, foreign affairs & national security; Nuclear weapons","$591,324.00",$0,0,,0,1,
370,Ocean Conservancy,http://www.oceanconservancy.org,,23-7245152,Environment,"$48,602,165.00",$0,0,,0,1,
371,Ocean Rescue Alliance International,https://www.oceanrescuealliance.org/,,86-3337083,Art; Education; Environment; Science & technology,$0.00,$0,0,,1,2,
372,Open Medicine Foundation,OMF.NGO,,26-4712664,Health; Medical research; Research; Technology,"$6,058,625.00",$0,0,,0,1,
373,Out On The Shelf,https://www.outontheshelf.com/,,CA 816855159RR0001,Education; Lgbtq+,,$0,0,,0,1,
374,Outright International,https://www.outrightinternational.org/,,94-3139952,Lgbtq+ rights; Unknown,"$13,527,967.00",$0,0,,0,1,
375,Painted Dog Conservation,https://www.painteddog.org/,Wildlife Conservation Network,30-0108469,Animal-related; Animals; Environment,"$52,477,979.00",$0,0,,1,2,
376,Pajama Program,http://www.pajamaprogram.org/,,02-0588068,Children; Education; Human services,"$4,057,985.00",$0,0,,0,1,2024
377,PATH,https://www.path.org,,91-1157127,,,$0,0,,0,0,
378,Pragathi Charitable Trust,https://pragathitrust.org/en/,,India JAY-4-01253-2015-16,Education,,$0,0,,0,1,
379,Project B.E.A.R.,https://www.shawnee.edu/cll/project-bear,,,Youth organizing,,$0,0,,0,1,2023
380,Pumpkins Acres Rabbit Rescue,https://www.pumpkinsacres.ca/,,CA 722435476RR0001,Animals,,$0,0,,0,1,
381,Quadball UK,https://quadballuk.org/,,UK 12178866,Sports,,$0,0,,0,1,
382,Quelili,https://quelili.org/,,,Environment,,$0,0,,0,1,
383,Red Goes Faster,https://www.facebook.com/redgoesfastermorocco/,,,,,$0,0,,0,0,
384,Redwood Empire Food Bank,http://www.refb.org/,,68-0121855,"Food, agriculture & nutrition; Hunger","$57,800,802.00",$0,0,,0,1,
385,Remote Area Medical,https://www.ramusa.org,,58-1647546,,,$0,0,,0,0,
386,Roger Neilson House,https://www.rogerneilsonchildrenshospice.ca/,,CA 861405496RR0001,Children; Healthcare,,$0,0,,0,1,
387,SEDS-Canada,https://www.seds.ca/,,,Education,,$0,0,,0,1,
388,Seed,https://www.seedmob.org.au/,,AUS 77652738255,Environment; Human rights,,$0,0,,0,1,
389,Shared Hope International,https://sharedhope.org/,,91-1938635,,,$0,0,,0,0,
390,"Shelter, Inc.",HTTPS://WWW.SHELTER-INC.ORG/,,23-7399596,Children; Housing & shelter; Shelter,"$4,296,819.00",$0,0,,0,1,
391,SOCK FIP,https://www.sockfip.org/,,27-1523038,Animal-related; Animals,"$90,455.00",$0,0,,0,1,
392,SpayNSave,WWW.SPAYNSAVE.ORG,,30-0693930,Animal-related; Animals,"$1,302,578.00",$0,0,,0,1,
393,Stone Soup Cafe,www.thestonesoupcafe.org,,84-3664286,"Food, agriculture & nutrition; Workforce development","$662,519.00",$0,0,,0,1,
394,strongminds,WWW.STRONGMINDS.ORG,,46-2090059,"International, foreign affairs & national security; Mental health","$8,736,940.00",$0,0,,0,1,
395,Swasthya Swaraj,https://www.swasthyaswaraj.org/,,India 104950105,Healthcare,,$0,0,,0,1,
396,Texas 4000 for Cancer,WWW.TEXAS4000.ORG,,20-0371876,Cancer; Health; Voluntary health associations & medical disciplines,"$986,849.00",$0,0,,0,1,
397,The Crime Connection Incorporated,,,92-1847666,Crime & legal-related; Health,$0.00,$0,0,,0,1,
398,The Foundation to Decrease World Suck,,,,,,$0,0,,1,2,
399,The Humane Society of New York,http://www.humanesocietyny.org/,,13-1624041,Animal-related; Animals,"$6,611,797.00",$0,0,,0,1,
400,The Prison Phoenix Trust,https://www.theppt.org.uk/,,UK 1163558,Incarceration,,$0,0,,0,1,
401,The Resilient Activist,www.theresilientactivist.org,,82-4982519,Environment; Mental health,"$31,519.00",$0,0,,0,1,
402,The STIM Project,https://www.thestimproject.org/,,93-2071935,Autism; Voluntary health associations & medical disciplines,$0.00,$0,0,,1,2,
403,Therapies Unite,https://therapiesunite.com/,,30‑0108263,"International, foreign affairs & national security","$120,852,957.00",$0,0,,1,3,
404,TransActual,https://transactual.org.uk/,,England 12772196,,,$0,0,,0,1,
405,TravlerPack,https://travlerpack.org/,,88-3734431,Human services,"$160,807.00",$0,0,,0,1,
406,United2Heal,,,46-5748694,"Philanthropy, voluntarism & grantmaking foundations",$0.00,$0,0,,0,1,
407,Upwardly Global,https://www.upwardlyglobal.org/,,94-3346127,Employment; Workforce development,"$22,391,041.00",$0,0,,0,1,
408,Walkin' &amp; Rollin' Costumes,https://www.walkinrollin.org/,,47-5478453,Human services; Youth services,$0.00,$0,0,,0,1,
409,Waypoint Centre for Mental Health Care,https://www.waypointcentre.ca/,,,,,$0,0,,0,0,2023
410,We Got This,,,47-4248078,Youth development,"$107,215.00",$0,0,,0,1,
411,Wezesha Binti girl up,,,,,,$0,0,,0,1,
412,Whale and Dolphin Conservation,HTTP://US.WHALES.ORG,,02-0749188,Animals; Environment,"$1,052,105.00",$0,0,,0,1,
413,World Association of Girl Guides and Girl Scouts,https://www.wagggs.org/,,23-7147834,Women's rights,"$2,226,873.00",$0,0,,0,1,
414,World Wildlife Foundation,,,86-3223320,Environment,$0.00,$0,0,,0,1,
415,World YWCA,https://www.worldywca.org/,,98-6000983,"Community services; Human services; International, foreign affairs & national security","$2,946,885.00",$0,0,,0,2,
416,Youth With A Mission Hopeland,https://ywam.org/location/ywam-hope-land/b-1019,,,Education; Religious,,$0,0,,0,1,
417,Print the Love,,,,Children and youth; Poverty; Arts and culture,,$0,0,,1,1,
418,Project Purple,,,,Healthcare,,$0,0,,1,1,
