Grouping,Area,Pop. size (N),Persons with LTBI (95%CI),Column %,LTBI % (95%CI)
65+ years, IN ,"973,310","18,339 (17,817 to 19,095)",17%,1.9 (1.8 to 2.0)
Non-Hispanic white, IN ,"5,009,801","43,285 (41,932 to 44,899)",41%,0.9 (0.8 to 0.9)
Non-Hispanic black, IN ,"592,927","14,492 (14,039 to 15,025)",14%,2.4 (2.4 to 2.5)
Hispanic, IN ,"536,437","20,229 (19,650 to 20,841)",19%,3.8 (3.7 to 3.9)
Asian or other race/ethnicity, IN ,"228,000","27,434 (26,657 to 28,250)",26%,12.0 (11.7 to 12.4)
Total estimated number of persons with LTBI, KS ,"2,815,359","36,808 (35,708 to 38,033)",100%,1.3 (1.3 to 1.4)
With solid organ transplant (SOT), KS ,NA,0,0%,
With HIV coinfection but not SOT, KS ,NA,68 (66 to 71),0%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, KS ,NA,91 (88 to 94),0%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", KS ,NA,258 (250 to 268),1%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), KS ,NA,"3,372 (3,271 to 3,487)",9%,
None of the below medical risk factors reported, KS ,NA,"33,019 (32,033 to 34,114)",90%,
1–14 years, KS ,"552,515",823 (755 to 896),2%,0.1 (0.1 to 0.2)
15–24 years, KS ,"417,049","3,543 (3,401 to 3,699)",10%,0.8 (0.8 to 0.9)
25–44 years, KS ,"703,578","13,575 (13,215 to 13,957)",37%,1.9 (1.9 to 2.0)
45–64 years, KS ,"751,527","12,981 (12,624 to 13,360)",35%,1.7 (1.7 to 1.8)
65+ years, KS ,"390,690","5,885 (5,714 to 6,122)",16%,1.5 (1.5 to 1.6)
Non-Hispanic white, KS ,"2,127,809","12,852 (12,452 to 13,336)",35%,0.6 (0.6 to 0.6)
Non-Hispanic black, KS ,"151,489","3,986 (3,867 to 4,116)",11%,2.6 (2.6 to 2.7)
Hispanic, KS ,"318,897","8,595 (8,342 to 8,863)",23%,2.7 (2.6 to 2.8)
Asian or other race/ethnicity, KS ,"217,164","11,375 (11,047 to 11,717)",31%,5.2 (5.1 to 5.4)
Total estimated number of persons with LTBI, KY ,"4,246,357","78,229 (75,839 to 81,021)",100%,1.8 (1.8 to 1.9)
With solid organ transplant (SOT), KY ,NA,17 (17 to 18),0%,
With HIV coinfection but not SOT, KY ,NA,196 (190 to 203),0%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, KY ,NA,296 (286 to 307),0%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", KY ,NA,"2,668 (2,587 to 2,769)",3%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), KY ,NA,"5,498 (5,329 to 5,700)",7%,
None of the below medical risk factors reported, KY ,NA,"69,554 (67,430 to 72,024)",89%,
1–14 years, KY ,"771,634","2,206 (2,022 to 2,401)",3%,0.3 (0.3 to 0.3)
15–24 years, KY ,"568,706","4,240 (4,061 to 4,438)",5%,0.7 (0.7 to 0.8)
25–44 years, KY ,"1,101,504","23,950 (23,284 to 24,658)",31%,2.2 (2.1 to 2.2)
45–64 years, KY ,"1,122,259","28,546 (27,721 to 29,421)",36%,2.5 (2.5 to 2.6)
65+ years, KY ,"682,254","19,286 (18,752 to 20,103)",25%,2.8 (2.7 to 2.9)
Non-Hispanic white, KY ,"3,594,475","46,395 (44,967 to 48,149)",59%,1.3 (1.3 to 1.3)
Non-Hispanic black, KY ,"322,842","8,734 (8,467 to 9,043)",11%,2.7 (2.6 to 2.8)
Hispanic, KY ,"179,161","12,444 (12,071 to 12,837)",16%,6.9 (6.7 to 7.2)
Asian or other race/ethnicity, KY ,"149,878","10,656 (10,335 to 10,991)",14%,7.1 (6.9 to 7.3)
Total estimated number of persons with LTBI, LA ,"4,497,533","124,565 (120,668 to 129,001)",100%,2.8 (2.7 to 2.9)
With solid organ transplant (SOT), LA ,NA,15 (15 to 16),0%,
With HIV coinfection but not SOT, LA ,NA,373 (361 to 387),0%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, LA ,NA,254 (246 to 263),0%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", LA ,NA,"1,422 (1,376 to 1,476)",1%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), LA ,NA,"9,348 (9,061 to 9,672)",8%,
None of the below medical risk factors reported, LA ,NA,"113,153 (109,609 to 117,188)",91%,
1–14 years, LA ,"871,944","1,612 (1,487 to 1,756)",1%,0.2 (0.2 to 0.2)
15–24 years, LA ,"628,334","5,828 (5,507 to 6,193)",5%,0.9 (0.9 to 1.0)
25–44 years, LA ,"1,195,826","31,883 (30,898 to 32,939)",26%,2.7 (2.6 to 2.8)
45–64 years, LA ,"1,244,791","65,064 (63,161 to 67,086)",52%,5.2 (5.1 to 5.4)
65+ years, LA ,"556,638","20,177 (19,616 to 21,028)",16%,3.6 (3.5 to 3.8)
Non-Hispanic white, LA ,"2,611,599","40,998 (39,671 to 42,544)",33%,1.6 (1.5 to 1.6)
Non-Hispanic black, LA ,"1,414,640","45,537 (44,044 to 47,292)",37%,3.2 (3.1 to 3.3)
Hispanic, LA ,"263,743","20,878 (20,293 to 21,493)",17%,7.9 (7.7 to 8.1)
Asian or other race/ethnicity, LA ,"207,551","17,152 (16,661 to 17,673)",14%,8.3 (8.0 to 8.5)
Total estimated number of persons with LTBI, MA ,"6,570,043","190,904 (185,314 to 196,942)",100%,2.9 (2.8 to 3.0)
With solid organ transplant (SOT), MA ,NA,15 (14 to 15),0%,
With HIV coinfection but not SOT, MA ,NA,768 (745 to 792),0%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, MA ,NA,498 (483 to 516),0%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", MA ,NA,"1,569 (1,522 to 1,624)",1%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), MA ,NA,"9,079 (8,811 to 9,372)",5%,
None of the below medical risk factors reported, MA ,NA,"178,975 (173,739 to 184,624)",94%,
1–14 years, MA ,"1,063,755","4,272 (3,924 to 4,651)",2%,0.4 (0.4 to 0.4)
15–24 years, MA ,"927,772","14,062 (13,466 to 14,720)",7%,1.5 (1.5 to 1.6)
25–44 years, MA ,"1,753,594","82,583 (80,466 to 84,818)",43%,4.7 (4.6 to 4.8)
45–64 years, MA ,"1,784,694","65,385 (63,624 to 67,247)",34%,3.7 (3.6 to 3.8)
65+ years, MA ,"1,040,228","24,601 (23,834 to 25,506)",13%,2.4 (2.3 to 2.5)
Non-Hispanic white, MA ,"4,768,392","78,272 (75,940 to 80,828)",41%,1.6 (1.6 to 1.7)
Non-Hispanic black, MA ,"485,179","27,845 (27,004 to 28,777)",15%,5.7 (5.6 to 5.9)
Hispanic, MA ,"705,386","31,407 (30,502 to 32,370)",16%,4.5 (4.3 to 4.6)
Asian or other race/ethnicity, MA ,"611,084","53,380 (51,867 to 54,968)",28%,8.7 (8.5 to 9.0)
Total estimated number of persons with LTBI, MD ,"5,887,891","192,972 (187,451 to 198,989)",100%,3.3 (3.2 to 3.4)
With solid organ transplant (SOT), MD ,NA,36 (35 to 37),0%,
With HIV coinfection but not SOT, MD ,NA,"1,093 (1,062 to 1,127)",1%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, MD ,NA,377 (367 to 389),0%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", MD ,NA,"1,610 (1,563 to 1,663)",1%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), MD ,NA,"15,070 (14,641 to 15,537)",8%,
None of the below medical risk factors reported, MD ,NA,"174,786 (169,784 to 180,236)",91%,
1–14 years, MD ,"1,089,800","2,983 (2,732 to 3,246)",2%,0.3 (0.3 to 0.3)
15–24 years, MD ,"778,172","13,431 (12,883 to 14,031)",7%,1.7 (1.7 to 1.8)
25–44 years, MD ,"1,552,590","81,475 (79,416 to 83,647)",42%,5.2 (5.1 to 5.4)
45–64 years, MD ,"1,668,981","71,623 (69,663 to 73,697)",37%,4.3 (4.2 to 4.4)
65+ years, MD ,"798,348","23,460 (22,757 to 24,368)",12%,2.9 (2.9 to 3.1)
Non-Hispanic white, MD ,"3,162,681","33,677 (32,685 to 34,808)",17%,1.1 (1.0 to 1.1)
Non-Hispanic black, MD ,"1,699,844","54,629 (53,009 to 56,469)",28%,3.2 (3.1 to 3.3)
Hispanic, MD ,"494,772","47,600 (46,277 to 48,983)",25%,9.6 (9.4 to 9.9)
Asian or other race/ethnicity, MD ,"530,594","57,066 (55,480 to 58,729)",30%,10.8 (10.5 to 11.1)
Total estimated number of persons with LTBI, ME ,"1,291,735","17,302 (16,742 to 17,925)",100%,1.3 (1.3 to 1.4)
With solid organ transplant (SOT), ME ,NA,0,0%,
With HIV coinfection but not SOT, ME ,NA,76 (73 to 78),0%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, ME ,NA,0,0%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", ME ,NA,448 (435 to 464),3%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), ME ,NA,845 (822 to 878),5%,
None of the below medical risk factors reported, ME ,NA,"14,975 (14,482 to 15,509)",87%,
1–14 years, ME ,"206,456","1,419 (1,294 to 1,544)",8%,0.7 (0.6 to 0.7)
15–24 years, ME ,"138,314",923 (889 to 960),5%,0.7 (0.6 to 0.7)
25–44 years, ME ,"305,070","7,167 (6,985 to 7,358)",41%,2.3 (2.3 to 2.4)
45–64 years, ME ,"400,308","4,461 (4,337 to 4,593)",26%,1.1 (1.1 to 1.1)
65+ years, ME ,"241,587","3,332 (3,237 to 3,470)",19%,1.4 (1.3 to 1.4)
Non-Hispanic white, ME ,"1,186,822","7,489 (7,261 to 7,760)",43%,0.6 (0.6 to 0.7)
Non-Hispanic black, ME ,"16,980","4,892 (4,725 to 5,067)",28%,28.8 (27.8 to 29.8)
Hispanic, ME ,"18,653","1,477 (1,425 to 1,530)",9%,7.9 (7.6 to 8.2)
Asian or other race/ethnicity, ME ,"69,281","2,486 (2,401 to 2,572)",14%,3.6 (3.5 to 3.7)
Total estimated number of persons with LTBI, MI ,"9,773,864","130,823 (126,893 to 135,307)",100%,1.3 (1.3 to 1.4)
With solid organ transplant (SOT), MI ,NA,59 (57 to 61),0%,
With HIV coinfection but not SOT, MI ,NA,322 (312 to 334),0%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, MI ,NA,271 (263 to 281),0%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", MI ,NA,"1,525 (1,479 to 1,580)",1%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), MI ,NA,"10,636 (10,322 to 10,986)",8%,
None of the below medical risk factors reported, MI ,NA,"118,010 (114,462 to 122,065)",90%,
1–14 years, MI ,"1,673,840","2,396 (2,191 to 2,607)",2%,0.1 (0.1 to 0.2)
15–24 years, MI ,"1,315,414","8,133 (7,759 to 8,549)",6%,0.6 (0.6 to 0.6)
25–44 years, MI ,"2,431,259","39,750 (38,687 to 40,876)",30%,1.6 (1.6 to 1.7)
45–64 years, MI ,"2,871,213","49,965 (48,558 to 51,455)",38%,1.7 (1.7 to 1.8)
65+ years, MI ,"1,482,138","30,580 (29,698 to 31,820)",23%,2.1 (2.0 to 2.1)
Non-Hispanic white, MI ,"7,323,930","65,622 (63,652 to 67,850)",50%,0.9 (0.9 to 0.9)
Non-Hispanic black, MI ,"1,321,779","30,115 (29,167 to 31,306)",23%,2.3 (2.2 to 2.4)
Hispanic, MI ,"569,642","8,683 (8,431 to 8,950)",7%,1.5 (1.5 to 1.6)
Asian or other race/ethnicity, MI ,"558,511","26,403 (25,643 to 27,202)",20%,4.7 (4.6 to 4.9)
Total estimated number of persons with LTBI, MN ,"5,356,379","145,129 (140,605 to 149,996)",100%,2.7 (2.6 to 2.8)
With solid organ transplant (SOT), MN ,NA,30 (29 to 31),0%,
With HIV coinfection but not SOT, MN ,NA,459 (445 to 474),0%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, MN ,NA,357 (346 to 368),0%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", MN ,NA,"3,110 (3,011 to 3,222)",2%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), MN ,NA,"9,267 (8,972 to 9,586)",6%,
None of the below medical risk factors reported, MN ,NA,"131,906 (127,801 to 136,314)",91%,
1–14 years, MN ,"995,675","8,376 (7,680 to 9,116)",6%,0.8 (0.8 to 0.9)
15–24 years, MN ,"684,502","14,075 (13,497 to 14,707)",10%,2.1 (2.0 to 2.1)
25–44 years, MN ,"1,442,223","64,317 (62,695 to 66,027)",44%,4.5 (4.3 to 4.6)
45–64 years, MN ,"1,415,050","44,556 (43,354 to 45,826)",31%,3.1 (3.1 to 3.2)
65+ years, MN ,"818,929","13,806 (13,379 to 14,319)",10%,1.7 (1.6 to 1.7)
Non-Hispanic white, MN ,"4,221,952","34,190 (33,077 to 35,444)",24%,0.8 (0.8 to 0.8)
Non-Hispanic black, MN ,"306,808","49,260 (47,736 to 50,879)",34%,16.1 (15.6 to 16.6)
Hispanic, MN ,"291,930","15,319 (14,851 to 15,815)",11%,5.2 (5.1 to 5.4)
Asian or other race/ethnicity, MN ,"535,690","46,360 (44,941 to 47,857)",32%,8.7 (8.4 to 8.9)
Total estimated number of persons with LTBI, MO ,"5,877,353","93,334 (90,568 to 96,559)",100%,1.6 (1.5 to 1.6)
With solid organ transplant (SOT), MO ,NA,0,0%,
With HIV coinfection but not SOT, MO ,NA,248 (241 to 256),0%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, MO ,NA,262 (254 to 272),0%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", MO ,NA,"3,058 (2,964 to 3,176)",3%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), MO ,NA,"7,014 (6,799 to 7,277)",8%,
None of the below medical risk factors reported, MO ,NA,"82,751 (80,310 to 85,577)",89%,
1–14 years, MO ,"1,050,140","1,323 (1,216 to 1,441)",1%,0.1 (0.1 to 0.1)
15–24 years, MO ,"803,880","6,790 (6,501 to 7,107)",7%,0.8 (0.8 to 0.9)
25–44 years, MO ,"1,525,188","30,717 (29,875 to 31,610)",33%,2.0 (2.0 to 2.1)
45–64 years, MO ,"1,562,865","33,206 (32,268 to 34,201)",36%,2.1 (2.1 to 2.2)
65+ years, MO ,"935,280","21,299 (20,708 to 22,200)",23%,2.3 (2.2 to 2.4)
Non-Hispanic white, MO ,"4,760,995","48,640 (47,193 to 50,355)",52%,1.0 (1.0 to 1.1)
Non-Hispanic black, MO ,"681,011","19,211 (18,619 to 19,942)",21%,2.8 (2.7 to 2.9)
Hispanic, MO ,"212,279","7,911 (7,687 to 8,148)",8%,3.7 (3.6 to 3.8)
Asian or other race/ethnicity, MO ,"223,068","17,573 (17,069 to 18,113)",19%,7.9 (7.7 to 8.1)
Total estimated number of persons with LTBI, MS ,"2,927,297","67,430 (65,379 to 69,957)",100%,2.3 (2.2 to 2.4)
With solid organ transplant (SOT), MS ,NA,13 (12 to 13),0%,
With HIV coinfection but not SOT, MS ,NA,271 (263 to 282),0%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, MS ,NA,0,0%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", MS ,NA,210 (204 to 218),0%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), MS ,NA,"6,876 (6,666 to 7,138)",10%,
None of the below medical risk factors reported, MS ,NA,"60,060 (58,234 to 62,307)",89%,
1–14 years, MS ,"561,064",436 (402 to 475),1%,0.1 (0.1 to 0.1)
15–24 years, MS ,"422,664","1,793 (1,706 to 1,892)",3%,0.4 (0.4 to 0.4)
25–44 years, MS ,"749,785","13,800 (13,342 to 14,292)",20%,1.8 (1.8 to 1.9)
45–64 years, MS ,"802,188","27,764 (26,936 to 28,643)",41%,3.5 (3.4 to 3.6)
65+ years, MS ,"391,596","23,637 (22,992 to 24,655)",35%,6.0 (5.9 to 6.3)
Non-Hispanic white, MS ,"1,683,510","21,046 (20,399 to 21,851)",31%,1.3 (1.2 to 1.3)
Non-Hispanic black, MS ,"1,073,759","37,306 (36,155 to 38,761)",55%,3.5 (3.4 to 3.6)
Hispanic, MS ,"102,694","5,141 (5,000 to 5,291)",8%,5.0 (4.9 to 5.2)
Asian or other race/ethnicity, MS ,"67,333","3,936 (3,825 to 4,054)",6%,5.8 (5.7 to 6.0)
Total estimated number of persons with LTBI, MT ,"993,782","7,069 (6,860 to 7,344)",100%,0.7 (0.7 to 0.7)
With solid organ transplant (SOT), MT ,NA,0,0%,
With HIV coinfection but not SOT, MT ,NA,47 (45 to 48),1%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, MT ,NA,36 (35 to 37),1%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", MT ,NA,179 (173 to 186),3%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), MT ,NA,316 (307 to 329),4%,
None of the below medical risk factors reported, MT ,NA,"5,985 (5,809 to 6,220)",85%,
1–14 years, MT ,"168,901",0,0%,0.0 (0.0 to 0.0)
15–24 years, MT ,"138,425",256 (247 to 267),4%,0.2 (0.2 to 0.2)
25–44 years, MT ,"240,364",875 (844 to 909),12%,0.4 (0.4 to 0.4)
45–64 years, MT ,"287,632","2,438 (2,364 to 2,516)",34%,0.8 (0.8 to 0.9)
65+ years, MT ,"158,460","3,500 (3,405 to 3,652)",50%,2.2 (2.1 to 2.3)
Non-Hispanic white, MT ,"898,548","4,115 (3,993 to 4,276)",58%,0.5 (0.4 to 0.5)
Non-Hispanic black, MT ,"5,920",521 (506 to 541),7%,8.8 (8.5 to 9.1)
Hispanic, MT ,"34,329",35 (34 to 36),0%,0.1 (0.1 to 0.1)
Asian or other race/ethnicity, MT ,"54,985","1,891 (1,837 to 1,968)",27%,3.4 (3.3 to 3.6)
Total estimated number of persons with LTBI, NC ,"9,724,438","204,154 (197,995 to 211,233)",100%,2.1 (2.0 to 2.2)
With solid organ transplant (SOT), NC ,NA,63 (61 to 65),0%,
With HIV coinfection but not SOT, NC ,NA,861 (834 to 892),0%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, NC ,NA,683 (662 to 709),0%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", NC ,NA,"3,372 (3,266 to 3,497)",2%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), NC ,NA,"19,940 (19,335 to 20,642)",10%,
None of the below medical risk factors reported, NC ,NA,"179,235 (173,837 to 185,427)",88%,
1–14 years, NC ,"1,769,488","3,454 (3,176 to 3,760)",2%,0.2 (0.2 to 0.2)
15–24 years, NC ,"1,440,305","10,441 (9,920 to 11,026)",5%,0.7 (0.7 to 0.8)
25–44 years, NC ,"2,409,855","72,767 (70,751 to 74,907)",36%,3.0 (2.9 to 3.1)
45–64 years, NC ,"2,663,369","75,998 (73,818 to 78,312)",37%,2.9 (2.8 to 2.9)
65+ years, NC ,"1,441,421","41,495 (40,329 to 43,228)",20%,2.9 (2.8 to 3.0)
Non-Hispanic white, NC ,"6,032,397","54,137 (52,471 to 56,096)",27%,0.9 (0.9 to 0.9)
Non-Hispanic black, NC ,"2,074,676","68,397 (66,207 to 71,070)",34%,3.3 (3.2 to 3.4)
Hispanic, NC ,"928,467","44,669 (43,415 to 45,993)",22%,4.8 (4.7 to 5.0)
Asian or other race/ethnicity, NC ,"688,899","36,951 (35,902 to 38,074)",18%,5.4 (5.2 to 5.5)
Total estimated number of persons with LTBI, ND ,"721,846","14,809 (14,319 to 15,355)",100%,2.1 (2.0 to 2.1)
With solid organ transplant (SOT), ND ,NA,0,0%,
With HIV coinfection but not SOT, ND ,NA,42 (41 to 44),0%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, ND ,NA,28 (27 to 29),0%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", ND ,NA,0,0%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), ND ,NA,783 (754 to 815),5%,
None of the below medical risk factors reported, ND ,NA,"13,956 (13,497 to 14,467)",94%,
1–14 years, ND ,"134,886","934 (859 to 1,017)",6%,0.7 (0.6 to 0.8)
15–24 years, ND ,"98,325","1,828 (1,743 to 1,922)",12%,1.9 (1.8 to 2.0)
25–44 years, ND ,"211,934","5,333 (5,194 to 5,480)",36%,2.5 (2.5 to 2.6)
45–64 years, ND ,"181,439","5,225 (5,075 to 5,384)",35%,2.9 (2.8 to 3.0)
65+ years, ND ,"95,262","1,490 (1,448 to 1,553)",10%,1.6 (1.5 to 1.6)
Non-Hispanic white, ND ,"636,637","4,211 (4,068 to 4,376)",28%,0.7 (0.6 to 0.7)
Non-Hispanic black, ND ,"13,893","3,360 (3,251 to 3,480)",23%,24.2 (23.4 to 25.1)
Hispanic, ND ,"21,801","1,333 (1,278 to 1,391)",9%,6.1 (5.9 to 6.4)
Asian or other race/ethnicity, ND ,"49,514","5,906 (5,722 to 6,108)",40%,11.9 (11.6 to 12.3)
Total estimated number of persons with LTBI, NE ,"1,858,001","29,120 (28,276 to 30,062)",100%,1.6 (1.5 to 1.6)
With solid organ transplant (SOT), NE ,NA,0,0%,
With HIV coinfection but not SOT, NE ,NA,14 (13 to 14),0%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, NE ,NA,61 (59 to 64),0%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", NE ,NA,454 (439 to 473),2%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), NE ,NA,"1,518 (1,474 to 1,567)",5%,
None of the below medical risk factors reported, NE ,NA,"27,072 (26,289 to 27,944)",93%,
1–14 years, NE ,"368,878",523 (482 to 569),2%,0.1 (0.1 to 0.2)
15–24 years, NE ,"261,203","2,674 (2,558 to 2,802)",9%,1.0 (1.0 to 1.1)
25–44 years, NE ,"481,392","14,233 (13,865 to 14,622)",49%,3.0 (2.9 to 3.0)
45–64 years, NE ,"483,823","7,965 (7,751 to 8,190)",27%,1.6 (1.6 to 1.7)
65+ years, NE ,"262,705","3,726 (3,620 to 3,879)",13%,1.4 (1.4 to 1.5)
Non-Hispanic white, NE ,"1,467,176","9,870 (9,567 to 10,228)",34%,0.7 (0.7 to 0.7)
Non-Hispanic black, NE ,"80,166","2,949 (2,863 to 3,047)",10%,3.7 (3.6 to 3.8)
Hispanic, NE ,"209,891","9,301 (9,038 to 9,587)",32%,4.4 (4.3 to 4.6)
Asian or other race/ethnicity, NE ,"100,768","6,999 (6,808 to 7,200)",24%,6.9 (6.8 to 7.1)
Total estimated number of persons with LTBI, NH ,"1,310,694","15,690 (15,229 to 16,196)",100%,1.2 (1.2 to 1.2)
With solid organ transplant (SOT), NH ,NA,0,0%,
With HIV coinfection but not SOT, NH ,NA,45 (44 to 46),0%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, NH ,NA,25 (25 to 26),0%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", NH ,NA,53 (51 to 54),0%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), NH ,NA,495 (479 to 512),3%,
None of the below medical risk factors reported, NH ,NA,"15,072 (14,630 to 15,557)",96%,
1–14 years, NH ,"202,057",645 (588 to 702),4%,0.3 (0.3 to 0.3)
15–24 years, NH ,"183,572","1,062 (1,022 to 1,106)",7%,0.6 (0.6 to 0.6)
25–44 years, NH ,"313,168","7,450 (7,268 to 7,641)",47%,2.4 (2.3 to 2.4)
45–64 years, NH ,"406,867","4,431 (4,309 to 4,559)",28%,1.1 (1.1 to 1.1)
65+ years, NH ,"205,030","2,102 (2,042 to 2,188)",13%,1.0 (1.0 to 1.1)
Non-Hispanic white, NH ,"1,203,676","7,252 (7,040 to 7,495)",46%,0.6 (0.6 to 0.6)
Non-Hispanic black, NH ,"16,761","1,377 (1,335 to 1,421)",9%,8.2 (8.0 to 8.5)
Hispanic, NH ,"37,002","1,580 (1,532 to 1,632)",10%,4.3 (4.1 to 4.4)
Asian or other race/ethnicity, NH ,"53,255","5,481 (5,323 to 5,646)",35%,10.3 (10.0 to 10.6)
Total estimated number of persons with LTBI, NJ ,"8,871,533","289,823 (281,583 to 298,846)",100%,3.3 (3.2 to 3.4)
With solid organ transplant (SOT), NJ ,NA,68 (66 to 70),0%,
With HIV coinfection but not SOT, NJ ,NA,"1,124 (1,091 to 1,159)",0%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, NJ ,NA,633 (615 to 653),0%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", NJ ,NA,"5,476 (5,315 to 5,662)",2%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), NJ ,NA,"27,159 (26,392 to 27,992)",9%,
None of the below medical risk factors reported, NJ ,NA,"255,364 (248,104 to 263,310)",88%,
1–14 years, NJ ,"1,592,321","4,012 (3,685 to 4,367)",1%,0.3 (0.2 to 0.3)
15–24 years, NJ ,"1,212,343","18,179 (17,409 to 19,026)",6%,1.5 (1.4 to 1.6)
25–44 years, NJ ,"2,287,166","114,908 (112,017 to 117,957)",40%,5.0 (4.9 to 5.2)
45–64 years, NJ ,"2,499,376","110,995 (108,000 to 114,161)",38%,4.4 (4.3 to 4.6)
65+ years, NJ ,"1,280,327","41,729 (40,473 to 43,335)",14%,3.3 (3.2 to 3.4)
Non-Hispanic white, NJ ,"5,153,095","65,086 (63,176 to 67,265)",22%,1.3 (1.2 to 1.3)
Non-Hispanic black, NJ ,"1,174,001","34,242 (33,192 to 35,516)",12%,2.9 (2.8 to 3.0)
Hispanic, NJ ,"1,656,606","94,809 (92,173 to 97,608)",33%,5.7 (5.6 to 5.9)
Asian or other race/ethnicity, NJ ,"887,832","95,686 (93,043 to 98,458)",33%,10.8 (10.5 to 11.1)
Total estimated number of persons with LTBI, NM ,"2,009,142","48,139 (46,729 to 49,769)",100%,2.4 (2.3 to 2.5)
With solid organ transplant (SOT), NM ,NA,34 (33 to 35),0%,
With HIV coinfection but not SOT, NM ,NA,154 (149 to 159),0%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, NM ,NA,308 (299 to 319),1%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", NM ,NA,263 (256 to 272),1%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), NM ,NA,"6,690 (6,495 to 6,915)",14%,
None of the below medical risk factors reported, NM ,NA,"40,690 (39,496 to 42,068)",85%,
1–14 years, NM ,"394,606",389 (357 to 424),1%,0.1 (0.1 to 0.1)
15–24 years, NM ,"284,783","2,030 (1,944 to 2,125)",4%,0.7 (0.7 to 0.7)
25–44 years, NM ,"502,015","12,500 (12,156 to 12,865)",26%,2.5 (2.4 to 2.6)
