coreproject,pmid,applid,title,journal,year,doi,pmc,grants,authors,citation
R01CA199044,28075335,10998122,Towards standardization of x-ray beam filters in digital mammography and digital breast tomosynthesis: Monte Carlo simulations and analytical modelling.,Phys Med Biol,2017,10.1088/1361-6560/aa58c8,5384796,[],"['Shrestha S', 'Vedantham S', 'Karellas A']","Shrestha S, et al. Towards standardization of x-ray beam filters in digital mammography and digital breast tomosynthesis: Monte Carlo simulations and analytical modelling. Towards standardization of x-ray beam filters in digital mammography and digital breast tomosynthesis: Monte Carlo simulations and analytical modelling. 2017; 62:1969-1993. doi: 10.1088/1361-6560/aa58c8"
R01CA199044,29317033,10998122,Emerging Breast Imaging Technologies on the Horizon.,Semin Ultrasound CT MR,2018,10.1053/j.sult.2017.09.004,5773258,[],"['Vedantham S', 'Karellas A']",Vedantham S and Karellas A. Emerging Breast Imaging Technologies on the Horizon. Emerging Breast Imaging Technologies on the Horizon. 2018; 39:114-121. doi: 10.1053/j.sult.2017.09.004
R01EY028666,33452504,10802911,Mapping mechanical properties of biological materials via an add-on Brillouin module to confocal microscopes.,Nat Protoc,2021,10.1038/s41596-020-00457-2,8218248,[],"['Zhang J', 'Scarcelli G']",Zhang J and Scarcelli G. Mapping mechanical properties of biological materials via an add-on Brillouin module to confocal microscopes. Mapping mechanical properties of biological materials via an add-on Brillouin module to confocal microscopes. 2021; 16:1251-1275. doi: 10.1038/s41596-020-00457-2
R01EY028666,31086695,10802911,Long-term Brillouin imaging of live cells with reduced absorption-mediated damage at 660 nm wavelength.,Biomed Opt Express,2019,10.1364/BOE.10.001567,6484981,[],"['Nikolić M', 'Scarcelli G']",Nikolić M and Scarcelli G. Long-term Brillouin imaging of live cells with reduced absorption-mediated damage at 660 nm wavelength. Long-term Brillouin imaging of live cells with reduced absorption-mediated damage at 660 nm wavelength. 2019; 10:1567-1580. doi: 10.1364/BOE.10.001567
R01EY028666,30932682,10802911,Direct Three-Dimensional Measurement of Refractive Index via Dual Photon-Phonon Scattering.,Phys Rev Lett,2019,10.1103/PhysRevLett.122.103901,6530466,[],"['Fiore A', 'Bevilacqua C', 'Scarcelli G']","Fiore A, et al. Direct Three-Dimensional Measurement of Refractive Index via Dual Photon-Phonon Scattering. Direct Three-Dimensional Measurement of Refractive Index via Dual Photon-Phonon Scattering. 2019; 122:103901. doi: 10.1103/PhysRevLett.122.103901"
R01CA284102,40027727,10881299,"Cholesterol efflux protein, ABCA1, supports anti-cancer functions of myeloid immune cells.",bioRxiv,2025,10.1101/2025.02.19.638515,11870514,[],"['Bendre SV', 'Wang Y', 'Hajyousif B', 'K C R', 'Bhogale SG', 'Pradeep D', 'Krawczynska N', 'Schane CP', 'Weisser E', 'Singh A', 'Han S', 'Kim H', 'Kockaya L', 'Gupta AD', 'Nelczyk AT', 'Gamage HEV', 'Fei Y', 'Guo X', 'Deaton RJ', 'Sverdlov M', 'Gann PH', 'Sinha S', 'Wang K', 'Van Bortle K', 'Tajkorshid E', 'Woodward WA', 'Cho W', 'Nelson ER']","Bendre SV, et al. Cholesterol efflux protein, ABCA1, supports anti-cancer functions of myeloid immune cells. Cholesterol efflux protein, ABCA1, supports anti-cancer functions of myeloid immune cells. 2025; (unknown volume):(unknown pages). doi: 10.1101/2025.02.19.638515"
R01NS102917,28682082,10883380,Nanoelectronic Coating Enabled Versatile Multifunctional Neural Probes.,Nano Lett,2017,10.1021/acs.nanolett.7b00956,5869028,[],"['Zhao Z', 'Luan L', 'Wei X', 'Zhu H', 'Li X', 'Lin S', 'Siegel JJ', 'Chitwood RA', 'Xie C']","Zhao Z, et al. Nanoelectronic Coating Enabled Versatile Multifunctional Neural Probes. Nanoelectronic Coating Enabled Versatile Multifunctional Neural Probes. 2017; 17:4588-4595. doi: 10.1021/acs.nanolett.7b00956"
R01NS102917,29938162,10883380,Nanofabricated Ultraflexible Electrode Arrays for High-Density Intracortical Recording.,Adv Sci (Weinh),2018,10.1002/advs.201700625,6010728,[],"['Wei X', 'Luan L', 'Zhao Z', 'Li X', 'Zhu H', 'Potnis O', 'Xie C']","Wei X, et al. Nanofabricated Ultraflexible Electrode Arrays for High-Density Intracortical Recording. Nanofabricated Ultraflexible Electrode Arrays for High-Density Intracortical Recording. 2018; 5:1700625. doi: 10.1002/advs.201700625"
R01DC016834,33796047,11048686,The Principle of Least Effort and Comprehension of Spoken Sentences by Younger and Older Adults.,Front Psychol,2021,10.3389/fpsyg.2021.629464,8007979,[],"['Ayasse ND', 'Hodson AJ', 'Wingfield A']","Ayasse ND, et al. The Principle of Least Effort and Comprehension of Spoken Sentences by Younger and Older Adults. The Principle of Least Effort and Comprehension of Spoken Sentences by Younger and Older Adults. 2021; 12:629464. doi: 10.3389/fpsyg.2021.629464"
R01CA248323,34330834,11133363,A functional mammalian display screen identifies rare antibodies that stimulate NK cell-mediated cytotoxicity.,Proc Natl Acad Sci U S A,2021,10.1073/pnas.2104099118,8346823,[],"['Kang E', 'Kadoch C', 'Rubenstein JL', 'Lanier LL', 'Wells JA']","Kang E, et al. A functional mammalian display screen identifies rare antibodies that stimulate NK cell-mediated cytotoxicity. A functional mammalian display screen identifies rare antibodies that stimulate NK cell-mediated cytotoxicity. 2021; 118:(unknown pages). doi: 10.1073/pnas.2104099118"
R01AR083155,40123310,10882041,Human Myobundle Platform for Studying the Role of Notch Signaling in Satellite Cell Phenotype and Function.,Adv Healthc Mater,2025,10.1002/adhm.202404695,,[],"['Broer T', 'Tsintolas N', 'Hammond S', 'Helfer A', 'Lee J', 'Purkey K', 'DeLuca S', 'Khodabukus A', 'Bursac N']","Broer T, et al. Human Myobundle Platform for Studying the Role of Notch Signaling in Satellite Cell Phenotype and Function. Human Myobundle Platform for Studying the Role of Notch Signaling in Satellite Cell Phenotype and Function. 2025; 14:e2404695. doi: 10.1002/adhm.202404695"
R01AR083155,39299621,10882041,Engineered myovascular tissues for studies of endothelial/satellite cell interactions.,Acta Biomater,2024,10.1016/j.actbio.2024.09.020,11486565,[],"['Broer T', 'Tsintolas N', 'Purkey K', 'Hammond S', 'DeLuca S', 'Wu T', 'Gupta I', 'Khodabukus A', 'Bursac N']","Broer T, et al. Engineered myovascular tissues for studies of endothelial/satellite cell interactions. Engineered myovascular tissues for studies of endothelial/satellite cell interactions. 2024; 188:65-78. doi: 10.1016/j.actbio.2024.09.020"
R01CA248323,32973096,11133363,Deep profiling of protease substrate specificity enabled by dual random and scanned human proteome substrate phage libraries.,Proc Natl Acad Sci U S A,2020,10.1073/pnas.2009279117,7568340,[],"['Zhou J', 'Li S', 'Leung KK', ""O'Donovan B"", 'Zou JY', 'DeRisi JL', 'Wells JA']","Zhou J, et al. Deep profiling of protease substrate specificity enabled by dual random and scanned human proteome substrate phage libraries. Deep profiling of protease substrate specificity enabled by dual random and scanned human proteome substrate phage libraries. 2020; 117:25464-25475. doi: 10.1073/pnas.2009279117"
R01NS102917,36192597,10883380,Ultraflexible electrode arrays for months-long high-density electrophysiological mapping of thousands of neurons in rodents.,Nat Biomed Eng,2023,10.1038/s41551-022-00941-y,10067539,[],"['Zhao Z', 'Zhu H', 'Li X', 'Sun L', 'He F', 'Chung JE', 'Liu DF', 'Frank L', 'Luan L', 'Xie C']","Zhao Z, et al. Ultraflexible electrode arrays for months-long high-density electrophysiological mapping of thousands of neurons in rodents. Ultraflexible electrode arrays for months-long high-density electrophysiological mapping of thousands of neurons in rodents. 2023; 7:520-532. doi: 10.1038/s41551-022-00941-y"
R01NS105691,32440363,11055066,What directions of improvements in electrode designs should we expect in the next 5-10 years?,Bioelectron Med (Lond),2019,10.2217/bem-2019-0023,7226723,[],"['Chen K', 'Lam S', 'Kozai TD']","Chen K, et al. What directions of improvements in electrode designs should we expect in the next 5-10 years?. What directions of improvements in electrode designs should we expect in the next 5-10 years?. 2019; 2:119-122. doi: 10.2217/bem-2019-0023"
R01NS105691,38788704,11055066,Neuronal functional connectivity is impaired in a layer dependent manner near chronically implanted intracortical microelectrodes in C57BL6 wildtype mice.,J Neural Eng,2024,10.1088/1741-2552/ad5049,11948186,[],"['Chen K', 'Forrest AM', 'Burgos GG', 'Kozai TDY']","Chen K, et al. Neuronal functional connectivity is impaired in a layer dependent manner near chronically implanted intracortical microelectrodes in C57BL6 wildtype mice. Neuronal functional connectivity is impaired in a layer dependent manner near chronically implanted intracortical microelectrodes in C57BL6 wildtype mice. 2024; 21:(unknown pages). doi: 10.1088/1741-2552/ad5049"
R01NS105691,36103781,11055066,In vivo spatiotemporal dynamics of astrocyte reactivity following neural electrode implantation.,Biomaterials,2022,10.1016/j.biomaterials.2022.121784,10231871,[],"['Savya SP', 'Li F', 'Lam S', 'Wellman SM', 'Stieger KC', 'Chen K', 'Eles JR', 'Kozai TDY']","Savya SP, et al. In vivo spatiotemporal dynamics of astrocyte reactivity following neural electrode implantation. In vivo spatiotemporal dynamics of astrocyte reactivity following neural electrode implantation. 2022; 289:121784. doi: 10.1016/j.biomaterials.2022.121784"
R01NS105691,33302121,11055066,In vivo spatiotemporal patterns of oligodendrocyte and myelin damage at the neural electrode interface.,Biomaterials,2021,10.1016/j.biomaterials.2020.120526,8112010,[],"['Chen K', 'Wellman SM', 'Yaxiaer Y', 'Eles JR', 'Kozai TD']","Chen K, et al. In vivo spatiotemporal patterns of oligodendrocyte and myelin damage at the neural electrode interface. In vivo spatiotemporal patterns of oligodendrocyte and myelin damage at the neural electrode interface. 2021; 268:120526. doi: 10.1016/j.biomaterials.2020.120526"
R01NS105691,33621208,11055066,Inhibition of Na+/H+exchanger modulates microglial activation and scar formation following microelectrode implantation.,J Neural Eng,2021,10.1088/1741-2552/abe8f1,8532125,[],"['Dubaniewicz M', 'Eles JR', 'Lam S', 'Song S', 'Cambi F', 'Sun D', 'Wellman SM', 'Kozai TDY']","Dubaniewicz M, et al. Inhibition of Na+/H+exchanger modulates microglial activation and scar formation following microelectrode implantation. Inhibition of Na+/H+exchanger modulates microglial activation and scar formation following microelectrode implantation. 2021; 18:(unknown pages). doi: 10.1088/1741-2552/abe8f1"
R01NS105691,37413842,11055066,Pro-myelinating clemastine administration improves recording performance of chronically implanted microelectrodes and nearby neuronal health.,Biomaterials,2023,10.1016/j.biomaterials.2023.122210,10528716,[],"['Chen K', 'Cambi F', 'Kozai TDY']","Chen K, et al. Pro-myelinating clemastine administration improves recording performance of chronically implanted microelectrodes and nearby neuronal health. Pro-myelinating clemastine administration improves recording performance of chronically implanted microelectrodes and nearby neuronal health. 2023; 301:122210. doi: 10.1016/j.biomaterials.2023.122210"
R01NS105691,33075762,11055066,The temporal pattern of intracortical microstimulation pulses elicits distinct temporal and spatial recruitment of cortical neuropil and neurons.,J Neural Eng,2021,10.1088/1741-2552/abc29c,8167825,[],"['Eles JR', 'Stieger KC', 'Kozai TDY']","Eles JR, et al. The temporal pattern of intracortical microstimulation pulses elicits distinct temporal and spatial recruitment of cortical neuropil and neurons. The temporal pattern of intracortical microstimulation pulses elicits distinct temporal and spatial recruitment of cortical neuropil and neurons. 2021; 18:(unknown pages). doi: 10.1088/1741-2552/abc29c"
R01NS105691,31954232,11055066,In vivo imaging of calcium and glutamate responses to intracortical microstimulation reveals distinct temporal responses of the neuropil and somatic compartments in layer II/III neurons.,Biomaterials,2020,10.1016/j.biomaterials.2020.119767,7487166,[],"['Eles JR', 'Kozai TDY']",Eles JR and Kozai TDY. In vivo imaging of calcium and glutamate responses to intracortical microstimulation reveals distinct temporal responses of the neuropil and somatic compartments in layer II/III neurons. In vivo imaging of calcium and glutamate responses to intracortical microstimulation reveals distinct temporal responses of the neuropil and somatic compartments in layer II/III neurons. 2020; 234:119767. doi: 10.1016/j.biomaterials.2020.119767
R01NS105691,35263736,11055066,Intracortical microstimulation pulse waveform and frequency recruits distinct spatiotemporal patterns of cortical neuron and neuropil activation.,J Neural Eng,2022,10.1088/1741-2552/ac5bf5,9171725,[],"['Stieger KC', 'Eles JR', 'Ludwig KA', 'Kozai TDY']","Stieger KC, et al. Intracortical microstimulation pulse waveform and frequency recruits distinct spatiotemporal patterns of cortical neuron and neuropil activation. Intracortical microstimulation pulse waveform and frequency recruits distinct spatiotemporal patterns of cortical neuron and neuropil activation. 2022; 19:(unknown pages). doi: 10.1088/1741-2552/ac5bf5"
R01NS105691,38915601,11055066,Dynamic changes in structure and function of brain mural cells around chronically implanted microelectrodes.,bioRxiv,2024,10.1101/2024.06.11.598494,11195141,[],"['Wellman S', 'Forrest AM', 'Douglas MM', 'Subbaraman A', 'Zhang G', 'Kozai TDY']","Wellman S, et al. Dynamic changes in structure and function of brain mural cells around chronically implanted microelectrodes. Dynamic changes in structure and function of brain mural cells around chronically implanted microelectrodes. 2024; (unknown volume):(unknown pages). doi: 10.1101/2024.06.11.598494"
R01NS105691,32592267,11055066,In vivo microstimulation with cathodic and anodic asymmetric waveforms modulates spatiotemporal calcium dynamics in cortical neuropil and pyramidal neurons of male mice.,J Neurosci Res,2020,10.1002/jnr.24676,8095318,[],"['Stieger KC', 'Eles JR', 'Ludwig KA', 'Kozai TDY']","Stieger KC, et al. In vivo microstimulation with cathodic and anodic asymmetric waveforms modulates spatiotemporal calcium dynamics in cortical neuropil and pyramidal neurons of male mice. In vivo microstimulation with cathodic and anodic asymmetric waveforms modulates spatiotemporal calcium dynamics in cortical neuropil and pyramidal neurons of male mice. 2020; 98:2072-2095. doi: 10.1002/jnr.24676"
R01NS105691,37738741,11055066,Cell-specific alterations in autophagy-lysosomal activity near the chronically implanted microelectrodes.,Biomaterials,2023,10.1016/j.biomaterials.2023.122316,10897938,[],"['Chen K', 'Garcia Padilla C', 'Kiselyov K', 'Kozai TDY']","Chen K, et al. Cell-specific alterations in autophagy-lysosomal activity near the chronically implanted microelectrodes. Cell-specific alterations in autophagy-lysosomal activity near the chronically implanted microelectrodes. 2023; 302:122316. doi: 10.1016/j.biomaterials.2023.122316"
R01NS105691,34773740,11055066,Challenges and opportunities of advanced gliomodulation technologies for excitation-inhibition balance of brain networks.,Curr Opin Biotechnol,2021,10.1016/j.copbio.2021.10.008,8671375,[],"['Chen K', 'Stieger KC', 'Kozai TD']","Chen K, et al. Challenges and opportunities of advanced gliomodulation technologies for excitation-inhibition balance of brain networks. Challenges and opportunities of advanced gliomodulation technologies for excitation-inhibition balance of brain networks. 2021; 72:112-120. doi: 10.1016/j.copbio.2021.10.008"
R01EB034978,38308151,10878944,Effect of inhaled oxygen level on dynamic glucose-enhanced MRI in mouse brain.,Magn Reson Med,2024,10.1002/mrm.30035,11055662,[],"['Huang J', 'Chen Z', 'van Zijl PCM', 'Hin Law L', 'Pemmasani Prabakaran RS', 'Park SW', 'Xu J', 'Chan KWY']","Huang J, et al. Effect of inhaled oxygen level on dynamic glucose-enhanced MRI in mouse brain. Effect of inhaled oxygen level on dynamic glucose-enhanced MRI in mouse brain. 2024; 92:57-68. doi: 10.1002/mrm.30035"
R01NS102917,32745989,10883380,Ultraflexible Neural Electrodes for Long-Lasting Intracortical Recording.,iScience,2020,10.1016/j.isci.2020.101387,7398974,[],"['He F', 'Lycke R', 'Ganji M', 'Xie C', 'Luan L']","He F, et al. Ultraflexible Neural Electrodes for Long-Lasting Intracortical Recording. Ultraflexible Neural Electrodes for Long-Lasting Intracortical Recording. 2020; 23:101387. doi: 10.1016/j.isci.2020.101387"
R01MH136248,39317797,10872827,A potential target for noninvasive neuromodulation of PTSD symptoms derived from focal brain lesions in veterans.,Nat Neurosci,2024,10.1038/s41593-024-01772-7,,[],"['Siddiqi SH', 'Philip NS', 'Palm ST', 'Carreon DM', 'Arulpragasam AR', 'Barredo J', 'Bouchard H', 'Ferguson MA', 'Grafman JH', 'Morey RA', 'Fox MD']","Siddiqi SH, et al. A potential target for noninvasive neuromodulation of PTSD symptoms derived from focal brain lesions in veterans. A potential target for noninvasive neuromodulation of PTSD symptoms derived from focal brain lesions in veterans. 2024; 27:2231-2239. doi: 10.1038/s41593-024-01772-7"
R01MH125671,38123866,11083822,Breaking down relationship barriers to increase PrEP uptake and adherence among adolescent girls and young women in Kenya: safety and preliminary effectiveness results from a pilot cluster-randomized trial.,J Int AIDS Soc,2023,10.1002/jia2.26198,10733161,[],"['Roberts ST', 'Hartmann M', 'Minnis AM', 'Otticha SO', 'Browne EN', 'Montgomery ET', 'Agot K']","Roberts ST, et al. Breaking down relationship barriers to increase PrEP uptake and adherence among adolescent girls and young women in Kenya: safety and preliminary effectiveness results from a pilot cluster-randomized trial. Breaking down relationship barriers to increase PrEP uptake and adherence among adolescent girls and young women in Kenya: safety and preliminary effectiveness results from a pilot cluster-randomized trial. 2023; 26:e26198. doi: 10.1002/jia2.26198"
R01MH125671,38836985,11083822,"Feasibility and Acceptability of the Novel Tu'Washindi Intervention to Increase PrEP Use among Adolescent Girls and Young Women in Siaya County, Kenya.",AIDS Behav,2024,10.1007/s10461-024-04390-3,11286347,[],"['Minnis AM', 'Agot K', 'Hartmann M', 'Otticha S', 'Montgomery ET', 'Roberts ST']","Minnis AM, et al. Feasibility and Acceptability of the Novel Tu'Washindi Intervention to Increase PrEP Use among Adolescent Girls and Young Women in Siaya County, Kenya. Feasibility and Acceptability of the Novel Tu'Washindi Intervention to Increase PrEP Use among Adolescent Girls and Young Women in Siaya County, Kenya. 2024; 28:2695-2707. doi: 10.1007/s10461-024-04390-3"
R01DC016834,31864104,11048686,Auditory cortical plasticity in cochlear implant users.,Curr Opin Neurobiol,2020,10.1016/j.conb.2019.11.003,7002179,[],"['Glennon E', 'Svirsky MA', 'Froemke RC']","Glennon E, et al. Auditory cortical plasticity in cochlear implant users. Auditory cortical plasticity in cochlear implant users. 2020; 60:108-114. doi: 10.1016/j.conb.2019.11.003"
R01CA287326,39353899,11011485,A reconfigurable and conformal liquid sensor for ambulatory cardiac monitoring.,Nat Commun,2024,10.1038/s41467-024-52462-8,11445489,[],"['Zhao X', 'Zhou Y', 'Kwak W', 'Li A', 'Wang S', 'Dallenger M', 'Chen S', 'Zhang Y', 'Lium A', 'Chen J']","Zhao X, et al. A reconfigurable and conformal liquid sensor for ambulatory cardiac monitoring. A reconfigurable and conformal liquid sensor for ambulatory cardiac monitoring. 2024; 15:8492. doi: 10.1038/s41467-024-52462-8"
R01CA287326,38472193,11011485,Speaking without vocal folds using a machine-learning-assisted wearable sensing-actuation system.,Nat Commun,2024,10.1038/s41467-024-45915-7,10933441,[],"['Che Z', 'Wan X', 'Xu J', 'Duan C', 'Zheng T', 'Chen J']","Che Z, et al. Speaking without vocal folds using a machine-learning-assisted wearable sensing-actuation system. Speaking without vocal folds using a machine-learning-assisted wearable sensing-actuation system. 2024; 15:1873. doi: 10.1038/s41467-024-45915-7"
R01CA281801,38625402,10896444,Cadherin-17 as a target for the immunoPET of adenocarcinoma.,Eur J Nucl Med Mol Imaging,2024,10.1007/s00259-024-06709-7,11223962,[],"['Delaney S', 'Keinänen O', 'Lam D', 'Wolfe AL', 'Hamakubo T', 'Zeglis BM']","Delaney S, et al. Cadherin-17 as a target for the immunoPET of adenocarcinoma. Cadherin-17 as a target for the immunoPET of adenocarcinoma. 2024; 51:2547-2557. doi: 10.1007/s00259-024-06709-7"
R01CA281801,38833913,10896444,Site-specific bioconjugation and nuclear imaging.,Curr Opin Chem Biol,2024,10.1016/j.cbpa.2024.102471,11323144,[],"['Sebastiano J', 'Samuels ZV', 'Kao WS', 'Zeglis BM']","Sebastiano J, et al. Site-specific bioconjugation and nuclear imaging. Site-specific bioconjugation and nuclear imaging. 2024; 81:102471. doi: 10.1016/j.cbpa.2024.102471"
R01CA248323,35212540,11133363,Engineering Antibodies Targeting p16 MHC-Peptide Complexes.,ACS Chem Biol,2022,10.1021/acschembio.1c00808,,[],"['Rettko NJ', 'Campisi J', 'Wells JA']","Rettko NJ, et al. Engineering Antibodies Targeting p16 MHC-Peptide Complexes. Engineering Antibodies Targeting p16 MHC-Peptide Complexes. 2022; 17:545-555. doi: 10.1021/acschembio.1c00808"
R21CA293419,39574839,10950516,Isoform-level analyses of 6 cancers uncover extensive genetic risk mechanisms undetected at the gene-level.,medRxiv,2024,10.1101/2024.10.29.24316388,11581093,[],"['Chang YH', 'Head ST', 'Harrison T', 'Yu Y', 'Huff CD', 'Pasaniuc B', 'Lindström S', 'Bhattacharya A']","Chang YH, et al. Isoform-level analyses of 6 cancers uncover extensive genetic risk mechanisms undetected at the gene-level. Isoform-level analyses of 6 cancers uncover extensive genetic risk mechanisms undetected at the gene-level. 2024; (unknown volume):(unknown pages). doi: 10.1101/2024.10.29.24316388"
R01NS134695,39941082,10978704,Cardiac Tyrosine 97 Phosphorylation of Cytochrome c Regulates Respiration and Apoptosis.,Int J Mol Sci,2025,10.3390/ijms26031314,11818311,[],"['Morse PT', 'Pasupathi V', 'Vuljaj S', 'Yazdi N', 'Zurek MP', 'Wan J', 'Lee I', 'Vaishnav A', 'Edwards BFP', 'Arroum T', 'Hüttemann M']","Morse PT, et al. Cardiac Tyrosine 97 Phosphorylation of Cytochrome c Regulates Respiration and Apoptosis. Cardiac Tyrosine 97 Phosphorylation of Cytochrome c Regulates Respiration and Apoptosis. 2025; 26:(unknown pages). doi: 10.3390/ijms26031314"
R01CA281682,36712018,10844584,Effects of Dopamine Receptor Antagonists and Radiation on Mouse Neural Stem/Progenitor Cells.,bioRxiv,2023,10.1101/2023.01.18.524632,9882258,[],"['He L', 'Bhat K', 'Ioannidis A', 'Pajonk F']","He L, et al. Effects of Dopamine Receptor Antagonists and Radiation on Mouse Neural Stem/Progenitor Cells. Effects of Dopamine Receptor Antagonists and Radiation on Mouse Neural Stem/Progenitor Cells. 2023; (unknown volume):(unknown pages). doi: 10.1101/2023.01.18.524632"
R01CA281682,37546917,10844584,Activation of the mevalonate pathway in response to anti-cancer treatments drives glioblastoma recurrences through activation of Rac-1.,bioRxiv,2023,10.1101/2023.07.23.550205,10402033,[],"['He L', 'Ioannidis A', 'Arambula E', 'Hoffman CJ', 'Joshi P', 'Kathiravan A', 'Whitelegge J', 'Liau LM', 'Kornblum HI', 'Pajonk F']","He L, et al. Activation of the mevalonate pathway in response to anti-cancer treatments drives glioblastoma recurrences through activation of Rac-1. Activation of the mevalonate pathway in response to anti-cancer treatments drives glioblastoma recurrences through activation of Rac-1. 2023; (unknown volume):(unknown pages). doi: 10.1101/2023.07.23.550205"
R01CA281682,37470216,10844584,Nicotinamide Adenine Dinucleotide Phosphate Oxidase Promotes Glioblastoma Radiation Resistance in a Phosphate and Tensin Homolog-Dependent Manner.,Antioxid Redox Signal,2023,10.1089/ars.2022.0086,10775910,[],"['Ludwig K', 'Le Belle JE', 'Muthukrishnan SD', 'Sperry J', 'Condro M', 'Vlashi E', 'Pajonk F', 'Kornblum HI']","Ludwig K, et al. Nicotinamide Adenine Dinucleotide Phosphate Oxidase Promotes Glioblastoma Radiation Resistance in a Phosphate and Tensin Homolog-Dependent Manner. Nicotinamide Adenine Dinucleotide Phosphate Oxidase Promotes Glioblastoma Radiation Resistance in a Phosphate and Tensin Homolog-Dependent Manner. 2023; 39:890-903. doi: 10.1089/ars.2022.0086"
R01CA281682,39341503,10844584,Effects of dopamine receptor antagonists and radiation on mouse neural stem/progenitor cells.,Radiother Oncol,2024,10.1016/j.radonc.2024.110562,11987595,[],"['He L', 'Bhat K', 'Ioannidis A', 'Pajonk F']","He L, et al. Effects of dopamine receptor antagonists and radiation on mouse neural stem/progenitor cells. Effects of dopamine receptor antagonists and radiation on mouse neural stem/progenitor cells. 2024; 201:110562. doi: 10.1016/j.radonc.2024.110562"
R01CA281682,38837899,10844584,Activation of the Mevalonate Pathway in Response to Anti-cancer Treatments Drives Glioblastoma Recurrences Through Activation of Rac-1.,Cancer Res Commun,2024,10.1158/2767-9764.CRC-24-0049,11197925,[],"['He L', 'Ioannidis A', 'Hoffman CJ', 'Arambula E', 'Joshi P', 'Whitelegge J', 'Liau LM', 'Kornblum HI', 'Pajonk F']","He L, et al. Activation of the Mevalonate Pathway in Response to Anti-cancer Treatments Drives Glioblastoma Recurrences Through Activation of Rac-1. Activation of the Mevalonate Pathway in Response to Anti-cancer Treatments Drives Glioblastoma Recurrences Through Activation of Rac-1. 2024; 4:1566-1580. doi: 10.1158/2767-9764.CRC-24-0049"
R01NS133965,38430211,11043419,Microphysiological Blood-Brain Barrier Systems for Disease Modeling and Drug Development.,Adv Healthc Mater,2024,10.1002/adhm.202303180,11338747,[],"['Mulay AR', 'Hwang J', 'Kim DH']","Mulay AR, et al. Microphysiological Blood-Brain Barrier Systems for Disease Modeling and Drug Development. Microphysiological Blood-Brain Barrier Systems for Disease Modeling and Drug Development. 2024; 13:e2303180. doi: 10.1002/adhm.202303180"
R01CA284593,39171140,10890879,Bi-functional CpG-STAT3 decoy oligonucleotide triggers multilineage differentiation of acute myeloid leukemia in mice.,Mol Ther Nucleic Acids,2024,10.1016/j.omtn.2024.102268,11338104,[],"['Wang D', 'Kaniowski D', 'Jacek K', 'Su YL', 'Yu C', 'Hall J', 'Li H', 'Feng M', 'Hui S', 'Kaminska B', 'DeFranciscis V', 'Esposito CL', 'DiRuscio A', 'Zhang B', 'Marcucci G', 'Kuo YH', 'Kortylewski M']","Wang D, et al. Bi-functional CpG-STAT3 decoy oligonucleotide triggers multilineage differentiation of acute myeloid leukemia in mice. Bi-functional CpG-STAT3 decoy oligonucleotide triggers multilineage differentiation of acute myeloid leukemia in mice. 2024; 35:102268. doi: 10.1016/j.omtn.2024.102268"
R01AI183332,39471811,11059866,Potent and broad HIV-1 neutralization in fusion peptide-primed SHIV-infected macaques.,Cell,2024,10.1016/j.cell.2024.10.003,11645223,[],"['Wang H', 'Cheng C', 'Dal Santo JL', 'Shen CH', 'Bylund T', 'Henry AR', 'Howe CA', 'Hwang J', 'Morano NC', 'Morris DJ', 'Pletnev S', 'Roark RS', 'Zhou T', 'Hansen BT', 'Hoyt FH', 'Johnston TS', 'Wang S', 'Zhang B', 'Ambrozak DR', 'Becker JE', 'Bender MF', 'Changela A', 'Chaudhary R', 'Corcoran M', 'Corrigan AR', 'Foulds KE', 'Guo Y', 'Lee M', 'Li Y', 'Lin BC', 'Liu T', 'Louder MK', 'Mandolesi M', 'Mason RD', 'McKee K', 'Nair V', ""O'Dell S"", 'Olia AS', 'Ou L', 'Pegu A', 'Raju N', 'Rawi R', 'Roberts-Torres J', 'Sarfo EK', 'Sastry M', 'Schaub AJ', 'Schmidt SD', 'Schramm CA', 'Schwartz CL', 'Smith SC', 'Stephens T', 'Stuckey J', 'Teng IT', 'Todd JP', 'Tsybovsky Y', 'Van Wazer DJ', 'Wang S', 'Doria-Rose NA', 'Fischer ER', 'Georgiev IS', 'Karlsson Hedestam GB', 'Sheng Z', 'Woodward RA', 'Douek DC', 'Koup RA', 'Pierson TC', 'Shapiro L', 'Shaw GM', 'Mascola JR', 'Kwong PD']","Wang H, et al. Potent and broad HIV-1 neutralization in fusion peptide-primed SHIV-infected macaques. Potent and broad HIV-1 neutralization in fusion peptide-primed SHIV-infected macaques. 2024; 187:7214-7231.e23. doi: 10.1016/j.cell.2024.10.003"
R01CA248323,35594991,11133363,Discovery Proteomics Analysis Determines That Driver Oncogenes Suppress Antiviral Defense Pathways Through Reduction in Interferon-β Autocrine Stimulation.,Mol Cell Proteomics,2022,10.1016/j.mcpro.2022.100247,9212846,[],"['Solomon PE', 'Kirkemo LL', 'Wilson GM', 'Leung KK', 'Almond MH', 'Sayles LC', 'Sweet-Cordero EA', 'Rosenberg OS', 'Coon JJ', 'Wells JA']","Solomon PE, et al. Discovery Proteomics Analysis Determines That Driver Oncogenes Suppress Antiviral Defense Pathways Through Reduction in Interferon-β Autocrine Stimulation. Discovery Proteomics Analysis Determines That Driver Oncogenes Suppress Antiviral Defense Pathways Through Reduction in Interferon-β Autocrine Stimulation. 2022; 21:100247. doi: 10.1016/j.mcpro.2022.100247"
